file_name,cir_fidelity,cir_fidelity_1q_gate,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,average_movement
qft 5 full code fidelity,0.7590370774951098,1,0.904610480274618,0.9276563692349433,0.9249283295681431,0.9779263844625897,20,14,78,144,37.0856795073431
qft 6 full code fidelity,0.6521443904166555,1,0.8603841919146966,0.8867871865156691,0.8886435861147077,0.961843292359901,30,18,118,212,36.29465914054707
qft 7 full code fidelity,0.5413663050372095,1,0.8101573778154735,0.8392731030692049,0.8469758853683546,0.9400424800172567,42,22,166,292,35.65649809869599
qft 8 full code fidelity,0.43377920536036346,1,0.7552531090661903,0.786391514168376,0.8008264083574369,0.9120087445499395,56,26,222,384,35.135486901372815
qft 9 full code fidelity,0.3351461933167785,1,0.6970466008354952,0.7295010968306057,0.7511551214098489,0.8774389223646659,72,30,286,488,34.703803921556904
qft 10 full code fidelity,0.2494248827586899,1,0.6369088258938784,0.6699844104191454,0.6989478686545415,0.8362825355676164,90,34,358,604,34.34103555562427
qft 11 full code fidelity,0.17862000943184156,1,0.5761543988830041,0.6091932225498211,0.6451843777173236,0.788773515426203,110,38,438,732,34.03226018546316
qft 12 full code fidelity,0.1229539300770559,1,0.515996384293716,0.5483994948939686,0.590808597892234,0.7354478853982391,132,42,526,872,33.766448686015686
qft 13 full code fidelity,0.08126530227821302,1,0.4575100055400053,0.4887543622601732,0.5367025720391522,0.677142754162095,156,46,622,1024,33.535324092711924
qft 14 full code fidelity,0.051515413143404874,1,0.4016064652978159,0.4312567091588406,0.4836647671103911,0.6149731784539897,182,50,726,1188,33.33257601511196
qft 15 full code fidelity,0.03128576636322627,1,0.3490173016974103,0.37673216372443347,0.43239347672187917,0.5502854220998248,210,54,838,1364,33.15332005810389
qft 16 full code fidelity,0.018181540318887985,1,0.30028896908517405,0.32582256083374433,0.38347558663089293,0.48458773867509536,240,58,958,1552,32.99372205595301
qft 17 full code fidelity,0.010098870684906816,1,0.2557867022842223,0.27898523736235625,0.33738068325533116,0.41946276172714925,272,62,1086,1752,32.85073317392073
qft 18 full code fidelity,0.0053548013224099696,1,0.21570623976979011,0.23650096147234326,0.294460206388793,0.3564684772798162,306,66,1222,1964,32.72190032019544
qft 19 full code fidelity,0.002707056984447114,1,0.18009166573181268,0.19848889581374413,0.25495111561414624,0.29703706868956004,342,70,1366,2188,32.6052284073598
qft 20 full code fidelity,0.0013030875488982312,1,0.1488574871309632,0.1649267641837768,0.21898336600184118,0.2423821571840965,380,74,1518,2424,32.49907883664494
qft 21 full code fidelity,0.0005964757922778795,1,0.12181307688414098,0.13567432772852994,0.1865903774383299,0.1934247249614096,420,78,1678,2672,32.4020936613159
qft 22 full code fidelity,0.00025927260268539975,1,0.09868776295209036,0.1104983608640051,0.1577216330693309,0.1507461474576613,462,82,1846,2932,32.313138214300665
qft 23 full code fidelity,0.0001068674878795524,1,0.07915509187866449,0.08909751893838488,0.13225655099907327,0.11457343657575061,506,86,2022,3204,32.231257192230856
qft 24 full code fidelity,4.170783212723243e-05,1,0.0628551072319092,0.07112577357411168,0.11001883111517263,0.08479749360347658,552,90,2206,3488,32.15564067137915
qft 25 full code fidelity,1.5388841466160537e-05,1,0.049413822110038565,0.05621342054619543,0.0907905748536994,0.061020631761060554,600,94,2398,3784,32.08559754173307
qft 26 full code fidelity,5.359411233186295e-06,1,0.03845939824099911,0.04398500440138737,0.0743255978316734,0.04262570221320592,650,98,2598,4092,32.02053454358507
qft 27 full code fidelity,1.7588495688280052e-06,1,0.029634846598205214,0.034073824669237286,0.06036149145650866,0.028856600479124396,702,102,2806,4412,31.959939579570936
qft 28 full code fidelity,5.429839344050052e-07,1,0.02260731802731656,0.026132968585455146,0.048630128698346986,0.018899215231681504,756,106,3022,4744,31.90336832126233
qft 29 full code fidelity,1.5739975889246545e-07,1,0.01707424722777896,0.0198430408231548,0.03886644166514151,0.011953070742983041,812,110,3246,5088,31.85043337762474
qft 30 full code fidelity,4.2761709293037566e-08,1,0.012766746905164973,0.014916925569894404,0.030815417064261337,0.007286642041794581,870,114,3478,5444,31.80079547261675
qft 31 full code fidelity,1.0866128322042084e-08,1,0.009450724290688864,0.011102020811130906,0.024237355015339135,0.004272897497393056,930,118,3718,5812,31.75415621107728
qft 32 full code fidelity,2.5772375652243263e-09,1,0.0069262170922646735,0.008180434447901015,0.018911514247095872,0.00240522483802167,992,122,3966,6192,31.710252109644923
qft 33 full code fidelity,5.692948881990161e-10,1,0.005025430456791578,0.005967635902294668,0.014638321796742739,0.001296792256512562,1056,126,4222,6584,31.6688496423673
qft 34 full code fidelity,1.1684620991631852e-10,1,0.0036099118471168983,0.0043100259473154105,0.011240358989536743,0.0006681253757214866,1122,130,4486,6988,31.629741105617615
qft 35 full code fidelity,2.222905171217494e-11,1,0.0025672377333703605,0.0030818327697636444,0.008562350056553992,0.00032813518476302423,1190,134,4758,7404,31.59274114871018
qft 36 full code fidelity,3.909565006912828e-12,1,0.0018075142906314782,0.0021816740719853445,0.006470378440561748,0.0001532241237481153,1260,138,5038,7832,31.55768384861199
qft 37 full code fidelity,6.339298435067105e-13,1,0.0012599216922462527,0.001529052120076984,0.004850542247539552,6.783987880452528e-05,1332,142,5326,8272,31.524420231853576
qft 38 full code fidelity,9.44905598637506e-14,1,0.0008694638471734857,0.0010609778705061867,0.003607238075822977,2.8395908077941108e-05,1406,146,5622,8724,31.492816165949232
qft 39 full code fidelity,1.2906752661117814e-14,1,0.0005940262887104569,0.0007288564131460777,0.002661235003740326,1.1201756186371654e-05,1482,150,5926,9188,31.462750557670233
qft 40 full code fidelity,1.6102118179071519e-15,1,0.0004017963279080584,0.0004957117927726742,0.0019476708019254914,4.1508041477638095e-06,1560,154,6238,9664,31.43411380735635
qft 41 full code fidelity,1.8282784463306665e-16,1,0.00026906203525670747,0.0003337860171417196,0.001414072856624763,1.439627025868997e-06,1640,158,6558,10152,31.4068064778363
qft 42 full code fidelity,1.88208742567751e-17,1,0.00017837954184635497,0.00022251466845776976,0.0010184786374321953,4.6556913332317953e-07,1722,162,6886,10652,31.380738144008745
qft 43 full code fidelity,1.7494313988363852e-18,1,0.00011708030005530386,0.0001468590684486889,0.000727706020629714,1.398158325459771e-07,1806,166,7222,11164,31.35582639513193
qft 44 full code fidelity,1.461833895051157e-19,1,7.607969640955469e-05,9.596094365866827e-05,0.0005158030641829649,3.881957967951046e-08,1892,170,7566,11688,31.331995966701683
qft 45 full code fidelity,1.092884407876376e-20,1,4.894404698322984e-05,6.207830759629702e-05,0.00036269016021340736,9.917420130383022e-09,1980,174,7918,12224,31.309177982710267
qft 46 full code fidelity,7.272522010669343e-22,1,3.1172895498583746e-05,3.975912740609186e-05,0.00025299476493572374,2.319313851119029e-09,2070,178,8278,12772,31.287309292262456
qft 47 full code fidelity,4.2834844250929395e-23,1,1.9656245706305155e-05,2.5210730952444772e-05,0.00017506978638955428,4.9374189592511e-10,2162,182,8646,13332,31.266331887127702
qft 48 full code fidelity,2.2195247583838572e-24,1,1.2270723280461195e-05,1.5826527925645854e-05,0.00012018071260555832,9.509756750673808e-11,2256,186,9022,13904,31.24619238894431
qft 49 full code fidelity,1.0050246172209965e-25,1,7.583783282980867e-06,9.83642934050742e-06,8.184313442024267e-05,1.646156250843958e-11,2352,190,9406,14488,31.226841596553108
qft 50 full code fidelity,3.9479433240572775e-27,1,4.640318890515293e-06,6.052585347905994e-06,5.529089731770141e-05,2.5423100953398045e-12,2450,194,9798,15084,31.20823408539684
