file_name,cir_fidelity,cir_fidelity_1q_gate,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,average_movement
qft 5 full code fidelity,0.7600069617556554,1,0.904610480274618,0.9276563692349433,0.9249283295681432,0.9791759616392309,20,14,78,132,38.47656760917889
qft 6 full code fidelity,0.6556503499554251,1,0.8603841919146966,0.8867871865156691,0.888643586114708,0.967014208057721,30,18,118,176,38.193898006061175
qft 7 full code fidelity,0.5484566435312019,1,0.8101573778154735,0.8392731030692049,0.8469758853683546,0.952354327503953,42,22,166,220,38.024296244190545
qft 8 full code fidelity,0.4448617562525995,1,0.7552531090661903,0.786391514168376,0.8008264083574377,0.9353095003278517,56,26,222,264,37.91122840294346
qft 9 full code fidelity,0.3498791740242871,1,0.6970466008354952,0.7295010968306057,0.7511551214098502,0.9160110170892998,72,30,286,308,37.83046565919554
qft 10 full code fidelity,0.26682027616581444,1,0.6369088258938784,0.6699844104191454,0.6989478686545437,0.8946065630054875,90,34,358,352,37.7698936013846
qft 11 full code fidelity,0.1972989355646955,1,0.5761543988830041,0.6091932225498211,0.6451843777173254,0.8712583516831353,110,38,438,396,37.72278200086498
qft 12 full code fidelity,0.1414598791770874,1,0.515996384293716,0.5483994948939686,0.5908085978922368,0.8461410623009665,132,42,526,440,37.68509272044928
qft 13 full code fidelity,0.09834264827516288,1,0.4575100055400053,0.4887543622601732,0.5367025720391544,0.8194396604427674,156,46,622,484,37.65425603647281
qft 14 full code fidelity,0.06628999979357038,1,0.4016064652978159,0.4312567091588406,0.48366476711039347,0.7913470820719823,182,50,726,528,37.62855879982575
qft 15 full code fidelity,0.04332604634033667,1,0.3490173016974103,0.37673216372443347,0.43239347672188166,0.7620619364572272,210,54,838,572,37.6068149842013
qft 16 full code fidelity,0.027456327039576116,1,0.30028896908517405,0.32582256083374433,0.38347558663089537,0.7317861522772092,240,58,958,616,37.588177427951784
qft 17 full code fidelity,0.01687040728719021,1,0.2557867022842223,0.27898523736235625,0.3373806832553329,0.7007226701816006,272,62,1086,660,37.5720248792022
qft 18 full code fidelity,0.009879119651657447,1,0.21570623976979011,0.23650096147234326,0.29446020638879544,0.6576518020105531,306,66,1222,740,37.13948624114445
qft 19 full code fidelity,0.005596320944274247,1,0.18009166573181268,0.19848889581374413,0.2549511156141483,0.6140671505194445,342,70,1366,820,36.819903423522206
qft 20 full code fidelity,0.0030472721430809106,1,0.1488574871309632,0.1649267641837768,0.21898336600184354,0.5668110298432693,380,74,1518,912,36.47425615615593
qft 21 full code fidelity,0.001604392853472881,1,0.12181307688414098,0.13567432772852994,0.18659037743833204,0.5202713176806794,420,78,1678,1004,36.19195460312769
qft 22 full code fidelity,0.0008167534642512857,1,0.09868776295209036,0.1104983608640051,0.15772163306933284,0.4748763921962658,462,82,1846,1096,35.95704674148376
qft 23 full code fidelity,0.000402014669616509,1,0.07915509187866449,0.08909751893838488,0.13225655099907532,0.43100294734859856,506,86,2022,1188,35.75852191565
qft 24 full code fidelity,0.00019131686947187736,1,0.0628551072319092,0.07112577357411168,0.1100188311151746,0.38897229100252695,552,90,2206,1280,35.58853503352984
qft 25 full code fidelity,8.802677650068737e-05,1,0.049413822110038565,0.05621342054619543,0.09079057485370105,0.34904833646984623,600,94,2398,1372,35.44134522597973
qft 26 full code fidelity,3.915760667398922e-05,1,0.03845939824099911,0.04398500440138737,0.07432559783167493,0.31143728459048364,650,98,2598,1464,35.31265468385942
qft 27 full code fidelity,1.6840184538604468e-05,1,0.029634846598205214,0.034073824669237286,0.0603614914565099,0.27628882301118907,702,102,2806,1556,35.19918204646284
qft 28 full code fidelity,7.001585747466836e-06,1,0.02260731802731656,0.026132968585455146,0.04863012869834802,0.2436986946021635,756,106,3022,1648,35.0983786841154
qft 29 full code fidelity,2.8141953723714585e-06,1,0.01707424722777896,0.0198430408231548,0.038866441665142366,0.21371237546502386,812,110,3246,1740,35.008234987671365
qft 30 full code fidelity,1.0934770514605948e-06,1,0.012766746905164973,0.014916925569894404,0.030815417064262093,0.18632968575480818,870,114,3478,1832,34.92714502493131
qft 31 full code fidelity,4.1072575606910967e-07,1,0.009450724290688864,0.011102020811130906,0.024237355015339756,0.16151006165300902,930,118,3718,1924,34.85381002744292
qft 32 full code fidelity,1.4913178395956196e-07,1,0.0069262170922646735,0.008180434447901015,0.01891151424709642,0.13917827202196173,992,122,3966,2016,34.7871683035348
qft 33 full code fidelity,5.221457320801567e-08,1,0.005025430456791578,0.005967635902294668,0.014638321796743185,0.11893915722213569,1056,126,4222,2112,34.709909297599225
qft 34 full code fidelity,1.7163942844025933e-08,1,0.0036099118471168983,0.0043100259473154105,0.011240358989537085,0.09814324118633691,1122,130,4486,2236,34.578621282511826
qft 35 full code fidelity,5.42497421160425e-09,1,0.0025672377333703605,0.0030818327697636444,0.00856235005655425,0.08008101012623794,1190,134,4758,2364,34.456801970815825
qft 36 full code fidelity,1.632972781434109e-09,1,0.0018075142906314782,0.0021816740719853445,0.00647037844056198,0.06399965804311641,1260,138,5038,2504,34.32790029896384
qft 37 full code fidelity,4.736157111652192e-10,1,0.0012599216922462527,0.001529052120076984,0.004850542247539724,0.05068389313813125,1332,142,5326,2644,34.212649333661986
qft 38 full code fidelity,1.323467515322952e-10,1,0.0008694638471734857,0.0010609778705061867,0.0036072380758231234,0.03977229255857902,1406,146,5622,2784,34.10898970107728
qft 39 full code fidelity,3.562987911563245e-11,1,0.0005940262887104569,0.0007288564131460777,0.0026612350037404408,0.030923132199282916,1482,150,5926,2924,34.01525643549793
qft 40 full code fidelity,9.240656782909796e-12,1,0.0004017963279080584,0.0004957117927726742,0.0019476708019255762,0.023820565764083708,1560,154,6238,3064,33.93008887303943
qft 41 full code fidelity,2.3086176355506242e-12,1,0.00026906203525670747,0.0003337860171417196,0.001414072856624832,0.018178567642180662,1640,158,6558,3204,33.85236416872336
qft 42 full code fidelity,5.555648657693461e-13,1,0.00017837954184635497,0.00022251466845776976,0.001018478637432253,0.013742924453571476,1722,162,6886,3344,33.781147513811746
qft 43 full code fidelity,1.287726813352609e-13,1,0.00011708030005530386,0.0001468590684486889,0.0007277060206297561,0.010291606554016196,1806,166,7222,3484,33.71565435585055
qft 44 full code fidelity,2.8746911564668925e-14,1,7.607969640955469e-05,9.596094365866827e-05,0.0005158030641829948,0.007633856540078301,1892,170,7566,3624,33.65522137565678
qft 45 full code fidelity,6.1802935946778034e-15,1,4.894404698322984e-05,6.207830759629702e-05,0.00036269016021342996,0.005608330365571865,1980,174,7918,3764,33.59928394127976
qft 46 full code fidelity,1.2795259204473844e-15,1,3.1172895498583746e-05,3.975912740609186e-05,0.00025299476493573935,0.004080595680295684,2070,178,8278,3904,33.54735841305682
qft 47 full code fidelity,2.550835308002285e-16,1,1.9656245706305155e-05,2.5210730952444772e-05,0.00017506978638956604,0.0029402564271920955,2162,182,8646,4044,33.499028124176725
qft 48 full code fidelity,4.896435498727773e-17,1,1.2270723280461195e-05,1.5826527925645854e-05,0.00012018071260556668,0.0020979225558253062,2256,186,9022,4184,33.45393217585266
qft 49 full code fidelity,9.049249237050356e-18,1,7.583783282980867e-06,9.83642934050742e-06,8.184313442024854e-05,0.001482200330396353,2352,190,9406,4324,33.4117564091962
qft 50 full code fidelity,1.5232285961260124e-18,1,4.640318890515293e-06,6.052585347905994e-06,5.529089731770571e-05,0.0009808953978248536,2450,194,9798,4500,33.347314812847834
