file_name,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,big_movement_stage,movement_distance
qft 5 full code fidelity,0.7597178807583941,0.904610480274618,0.9276563692349433,0.9249283295681432,0.9788035161515856,20,14,78,132,27,39.63157894736844
qft 6 full code fidelity,0.6552508193522548,0.8603841919146966,0.8867871865156691,0.888643586114708,0.9664249431090393,30,18,118,176,35,52.05263157894745
qft 7 full code fidelity,0.5479686406310416,0.8101573778154735,0.8392731030692049,0.8469758853683546,0.951506946622923,42,22,166,220,43,64.47368421052646
qft 8 full code fidelity,0.4443182386852559,0.7552531090661903,0.786391514168376,0.8008264083574377,0.9341667697218003,56,26,222,264,51,76.89473684210547
qft 9 full code fidelity,0.34931743997359466,0.6970466008354952,0.7295010968306057,0.7511551214098502,0.9145403534507925,72,30,286,308,59,89.3157894736845
qft 10 full code fidelity,0.2662756539945767,0.6369088258938784,0.6699844104191454,0.6989478686545437,0.8927805302326078,90,34,358,352,67,101.73684210526353
qft 11 full code fidelity,0.19679999324531533,0.5761543988830041,0.6091932225498211,0.6451843777173254,0.8690550571670046,110,38,438,396,75,114.15789473684256
qft 12 full code fidelity,0.14102577066526267,0.515996384293716,0.5483994948939686,0.5908085978922368,0.8435444459353506,132,42,526,440,83,126.5789473684216
qft 13 full code fidelity,0.09798261346386522,0.4575100055400053,0.4887543622601732,0.5367025720391544,0.8164396720481917,156,46,622,484,91,139.00000000000065
qft 14 full code fidelity,0.06600457216119336,0.4016064652978159,0.4312567091588406,0.48366476711039347,0.7879397457508533,182,50,726,528,99,151.42105263157973
qft 15 full code fidelity,0.04310928397857473,0.3490173016974103,0.37673216372443347,0.43239347672188166,0.7582493027389838,210,54,838,572,107,163.8421052631588
qft 16 full code fidelity,0.027298369109786776,0.30028896908517405,0.32582256083374433,0.38347558663089537,0.7275761417577542,240,58,958,616,115,176.26315789473787
qft 17 full code fidelity,0.01675980687715387,0.2557867022842223,0.27898523736235625,0.3373806832553329,0.696128814602151,272,62,1086,660,123,188.68421052631695
qft 18 full code fidelity,0.00997619708089594,0.21570623976979011,0.23650096147234326,0.2944602063887948,0.6641142347499471,306,66,1222,704,131,201.10526315789602
qft 19 full code fidelity,0.005757341824104021,0.18009166573181268,0.19848889581374413,0.25495111561414774,0.6317354783076096,342,70,1366,748,139,213.5263157894751
qft 20 full code fidelity,0.0032213452164828907,0.1488574871309632,0.1649267641837768,0.21898336600184257,0.5991896732233817,380,74,1518,792,147,225.94736842105416
qft 21 full code fidelity,0.001747463263686644,0.12181307688414098,0.13567432772852994,0.18659037743833123,0.5666660835772678,420,78,1678,836,155,238.36842105263324
qft 22 full code fidelity,0.0008997789582475221,0.09868776295209036,0.1104983608640051,0.1577216330693321,0.5231490335439091,462,82,1846,916,163,255.42105263158086
qft 23 full code fidelity,0.00044810481658498746,0.07915509187866449,0.08909751893838488,0.13225655099907438,0.4804165401562822,506,86,2022,996,171,272.68421052631754
qft 24 full code fidelity,0.00021419191984173896,0.0628551072319092,0.07112577357411168,0.11001883111517359,0.43548026896456427,552,90,2206,1088,179,291.63157894737
qft 25 full code fidelity,9.898388320800823e-05,0.049413822110038565,0.05621342054619543,0.09079057485370018,0.3924960238753189,600,94,2398,1180,187,310.5789473684224
qft 26 full code fidelity,4.422352550277117e-05,0.03845939824099911,0.04398500440138737,0.07432559783167404,0.3517287155026754,650,98,2598,1272,195,329.52631578947484
