file_name,cir_fidelity,cir_fidelity_1q_gate,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,average_movement
qft 5 full code fidelity,0.7589865684960463,1,0.904610480274618,0.9276563692349433,0.9249283295681431,0.9778613097985166,20,14,78,144,37.22370303689863
qft 6 full code fidelity,0.6519878590383023,1,0.8603841919146966,0.8867871865156691,0.8886435861147077,0.9616124253026581,30,18,118,212,36.57591463473569
qft 7 full code fidelity,0.5410118038222461,1,0.8101573778154735,0.8392731030692049,0.8469758853683546,0.939426914921715,42,22,166,292,36.13296288565479
qft 8 full code fidelity,0.43326782759556587,1,0.7552531090661903,0.786391514168376,0.8008264083574369,0.9109335869870583,56,26,222,384,35.70483396078936
qft 9 full code fidelity,0.33453841989097566,1,0.6970466008354952,0.7295010968306057,0.7511551214098489,0.8758477240446114,72,30,286,488,35.314727740901034
qft 10 full code fidelity,0.24865212587722188,1,0.6369088258938784,0.6699844104191454,0.6989478686545415,0.8336916028705101,90,34,358,604,35.097879810405566
qft 11 full code fidelity,0.1779560960688755,1,0.5761543988830041,0.6091932225498211,0.6451843777173236,0.7858417202767631,110,38,438,732,34.71106442917886
qft 12 full code fidelity,0.12241349141272877,1,0.515996384293716,0.5483994948939686,0.590808597892234,0.7322152561311815,132,42,526,872,34.38185634990546
qft 13 full code fidelity,0.08081928996299664,1,0.4575100055400053,0.4887543622601732,0.5367025720391522,0.6734263586150523,156,46,622,1024,34.13702041686804
qft 14 full code fidelity,0.05117021052679334,1,0.4016064652978159,0.4312567091588406,0.4836647671103911,0.6108522690524234,182,50,726,1188,33.91813038292329
qft 15 full code fidelity,0.0310343599478243,1,0.3490173016974103,0.37673216372443347,0.43239347672187917,0.5458634340362468,210,54,838,1364,33.72160461967562
qft 16 full code fidelity,0.018008894505262957,1,0.30028896908517405,0.32582256083374433,0.38347558663089293,0.4799862559102187,240,58,958,1552,33.54439325119
qft 17 full code fidelity,0.009996419672670039,1,0.2557867022842223,0.27898523736235625,0.33738068325533116,0.4152073963625043,272,62,1086,1752,33.33854236056903
qft 18 full code fidelity,0.005280902861338146,1,0.21570623976979011,0.23650096147234326,0.294460206388793,0.35154906565172256,306,66,1222,1964,33.278492150174955
qft 19 full code fidelity,0.002665947360838927,1,0.18009166573181268,0.19848889581374413,0.25495111561414624,0.2925262356477499,342,70,1366,2188,33.123005889348725
qft 20 full code fidelity,0.00128139124707001,1,0.1488574871309632,0.1649267641837768,0.21898336600184118,0.2383465139577547,380,74,1518,2424,32.98284447488906
qft 21 full code fidelity,0.000585270441096815,1,0.12181307688414098,0.13567432772852994,0.1865903774383299,0.18979106203937154,420,78,1678,2672,32.87071247124395
qft 22 full code fidelity,0.0002538098288483245,1,0.09868776295209036,0.1104983608640051,0.1577216330693309,0.1475699842154123,462,82,1846,2932,32.767316595321034
qft 23 full code fidelity,0.00010435546585004608,1,0.07915509187866449,0.08909751893838488,0.13225655099907327,0.11188027888686665,506,86,2022,3204,32.67169182586872
qft 24 full code fidelity,4.061925004179765e-05,1,0.0628551072319092,0.07112577357411168,0.11001883111517263,0.08258426343258397,552,90,2206,3488,32.58300710463594
qft 25 full code fidelity,1.4944747745737729e-05,1,0.049413822110038565,0.05621342054619543,0.0907905748536994,0.05925968832416123,600,94,2398,3784,32.50054354390635
qft 26 full code fidelity,5.1809782084787055e-06,1,0.03845939824099911,0.04398500440138737,0.0743255978316734,0.04120654763721615,650,98,2598,4092,32.443105115010205
qft 27 full code fidelity,1.6960949200815557e-06,1,0.029634846598205214,0.034073824669237286,0.06036149145650866,0.027827015084683444,702,102,2806,4412,32.36087102897792
qft 28 full code fidelity,5.309473000077069e-07,1,0.022835098131175045,0.025872617253632855,0.04902092626426888,0.01833270953255917,754,106,3014,4732,32.30758850735857
qft 29 full code fidelity,1.5865748536646243e-07,1,0.01759555950230475,0.019255867024500415,0.03981099793629718,0.011762275390733535,806,110,3222,5052,32.2875945721101
qft 30 full code fidelity,4.527865708865926e-08,1,0.013558238831322072,0.01404717611479732,0.032331407777561605,0.007353204010397417,858,114,3430,5372,32.284750948244096
qft 31 full code fidelity,1.2335868210014313e-08,1,0.010447285872500451,0.010044266137234806,0.026257064205012406,0.004477152265718155,910,118,3638,5692,32.29449563098891
qft 32 full code fidelity,3.206899381104936e-09,1,0.008050144525378942,0.007039642918696915,0.02132395302454535,0.0026537701752993937,962,122,3846,6012,32.31369950676693
qft 33 full code fidelity,7.984897006463484e-10,1,0.0062030299228308695,0.004835999911197674,0.01731766236478993,0.0015370567066727925,1014,126,4054,6332,32.315013751239846
