file_name,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,big_movement_stage,movement_distance
qft 5 4 full code fidelity,0.8743043178901434,0.951110130465772,0.9631491936532696,0.9626946373158063,0.9914017879460157,10,7,38,52,13,16.99999999999999
qft 5 2 full code fidelity,0.9077843633188307,0.9752487531218751,0.9752793831785673,0.9626946373158063,0.9914017879460157,5,4,38,52,13,16.99999999999999
qft 6 5 full code fidelity,0.8131313257046779,0.9275689688183281,0.9416937859599951,0.943622563728061,0.9865212841724371,15,9,58,68,17,22.263157894736832
qft 6 3 full code fidelity,0.8365624080050582,0.9558895783575598,0.9416937859599952,0.9436225637280607,0.9848783635268077,9,7,58,76,19,24.894736842105253
qft 7 6 full code fidelity,0.7449099260553151,0.9000874278732449,0.9161184983773687,0.9212341621210598,0.9806123953639782,21,11,82,84,21,27.526315789473674
qft 7 4 full code fidelity,0.7700115460610925,0.9322301194154051,0.9161184983773687,0.9212341621210596,0.9787063808567545,14,9,82,92,23,30.157894736842096
qft 8 7 full code fidelity,0.6721890836183677,0.8690529955452604,0.8867871865156692,0.8957848329039136,0.9736930727482463,28,13,110,100,25,32.78947368421052
qft 8 5 full code fidelity,0.6981369505486635,0.9046104802746178,0.8867871865156692,0.8957848329039136,0.9715292839369782,20,11,110,108,27,35.42105263157895
qft 9 8 full code fidelity,0.5974800365877869,0.8348931673187264,0.8541083636346185,0.8675596164681796,0.965784407282368,36,15,142,116,29,38.052631578947384
qft 9 6 full code fidelity,0.6234880467854156,0.8734200960253872,0.8541083636346185,0.8675596164681796,0.9633689596866645,27,13,142,124,31,40.684210526315816
qft 10 9 full code fidelity,0.5231174613128461,0.7980656776819051,0.8185257542796962,0.8368678892362574,0.956910522484329,45,17,178,132,33,43.31578947368425
qft 10 7 full code fidelity,0.5484782153625904,0.8390886103705792,0.8185257542796962,0.8368678892362573,0.9542502969650775,35,15,178,140,35,45.94736842105268
qft 11 10 full code fidelity,0.45114747644636977,0.7590483508202912,0.7805083103656367,0.8040377382995528,0.947098451682649,55,19,218,148,37,48.57894736842111
qft 11 8 full code fidelity,0.47526299577001135,0.8020760579717638,0.7805083103656367,0.8040377382995527,0.9442010599189251,44,17,218,156,39,51.210526315789544
qft 12 11 full code fidelity,0.3832489460739416,0.7183288830986236,0.7405400022240317,0.7694101571203793,0.9363780005594783,66,21,262,164,41,53.842105263157976
qft 12 9 full code fidelity,0.4056501211752405,0.7628626641409962,0.7405400022240318,0.7694101571203794,0.9332517468678765,54,19,262,172,43,56.47368421052641
qft 13 12 full code fidelity,0.3206905406529789,0.6763948591909946,0.6991096925806228,0.7333332049215049,0.9247815959669327,78,23,310,180,45,59.10526315789484
qft 13 10 full code fidelity,0.3410451138482824,0.7219385759785162,0.6991096925806226,0.733333204921505,0.9214354357338098,65,21,310,188,47,61.73684210526327
qft 14 13 full code fidelity,0.26432223406418937,0.6337242817644088,0.6567013850745562,0.6961562680720448,0.9123441220921882,91,25,362,196,49,64.3684210526317
qft 14 11 full code fidelity,0.2824322516121921,0.6797938283326579,0.6567013850745563,0.6961562680720447,0.9087876171126515,77,23,362,204,51,67.00000000000014
qft 15 14 full code fidelity,0.21459679444652438,0.5907768628656765,0.6137851120094343,0.6582245533155794,0.8991027451327349,105,27,418,212,53,69.63157894736858
qft 15 12 full code fidelity,0.23038733500560457,0.6369088258938782,0.6137851120094344,0.6582245533155794,0.895346016170846,90,25,418,220,55,72.26315789473702
qft 16 15 full code fidelity,0.1716146555578354,0.5479862854900422,0.5708086902226912,0.6198739305429285,0.8850967277184808,120,29,478,228,57,74.89473684210546
qft 16 13 full code fidelity,0.1851161847718752,0.5937455908197755,0.5708086902226913,0.6198739305429283,0.8811504046208841,104,27,478,236,59,77.5263157894739
qft 17 16 full code fidelity,0.1351844519526659,0.5057535983897913,0.528190531306986,0.5814262275775876,0.8703672343813542,136,31,542,244,61,80.15789473684234
qft 17 14 full code fidelity,0.14651135270413537,0.5507399854171277,0.5281905313069861,0.5814262275775873,0.8662424040913501,119,29,542,252,63,82.78947368421078
qft 18 17 full code fidelity,0.10489142015485135,0.464441858330825,0.48631364516363645,0.5431850617989287,0.8549571294253795,153,33,610,260,65,85.42105263157922
qft 18 15 full code fidelity,0.11421913908531069,0.5082950737585841,0.48631364516363634,0.5431850617989287,0.8506652822561057,135,31,610,268,67,88.05263157894765
