file_name,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,big_movement_stage,movement_distance
qaoa 5 2 full code fidelity,0.9077843633188308,0.9752487531218752,0.9752793831785672,0.9626946373158064,0.9914017879460156,5,4,38,52,13,16.99999999999999
qaoa 6 3 full code fidelity,0.8365624080050582,0.9558895783575598,0.9416937859599952,0.9436225637280607,0.9848783635268076,9,7,58,76,19,24.894736842105253
qaoa 7 4 full code fidelity,0.7700115460610925,0.9322301194154052,0.9161184983773688,0.9212341621210596,0.9787063808567544,14,9,82,92,23,30.157894736842096
qaoa 8 5 full code fidelity,0.6981369505486635,0.9046104802746178,0.8867871865156692,0.8957848329039136,0.9715292839369782,20,11,110,108,27,35.42105263157895
qaoa 9 6 full code fidelity,0.6234880467854156,0.8734200960253872,0.8541083636346185,0.8675596164681796,0.9633689596866644,27,13,142,124,31,40.684210526315816
qaoa 10 7 full code fidelity,0.5484782153625904,0.8390886103705792,0.8185257542796962,0.8368678892362573,0.9542502969650776,35,15,178,140,35,45.94736842105268
qaoa 11 8 full code fidelity,0.4752629957700113,0.8020760579717638,0.7805083103656367,0.8040377382995527,0.9442010599189252,44,17,218,156,39,51.21052631578954
qaoa 12 9 full code fidelity,0.4056501211752405,0.7628626641409962,0.7405400022240318,0.7694101571203794,0.9332517468678764,54,19,262,172,43,56.47368421052641
qaoa 13 10 full code fidelity,0.3410451138482824,0.7219385759785162,0.6991096925806226,0.733333204921505,0.9214354357338098,65,21,310,188,47,61.73684210526327
qaoa 14 11 full code fidelity,0.2824322516121921,0.6797938283326579,0.6567013850745563,0.6961562680720447,0.9087876171126515,77,23,362,204,51,67.00000000000014
qaoa 15 12 full code fidelity,0.2303873350056045,0.6369088258938782,0.6137851120094344,0.6582245533155794,0.895346016170846,90,25,418,220,55,72.26315789473702
qaoa 16 13 full code fidelity,0.1851161847718752,0.5937455908197755,0.5708086902226913,0.6198739305429283,0.8811504046208841,104,27,478,236,59,77.5263157894739
qaoa 17 14 full code fidelity,0.1465113527041353,0.5507399854171277,0.5281905313069861,0.5814262275775873,0.8662424040913501,119,29,542,252,63,82.78947368421078
qaoa 18 15 full code fidelity,0.1142191390853106,0.5082950737585841,0.4863136451636363,0.5431850617989287,0.8506652822561057,135,31,610,268,67,88.05263157894765
qaoa 19 16 full code fidelity,0.0877095379129337,0.4667757370159044,0.4455209263477352,0.5054322741177133,0.834463743124134,152,33,682,284,71,93.31578947368452
qaoa 20 17 full code fidelity,0.0663429407783111,0.4265046070983014,0.406111763168437,0.4684250106057246,0.8176837129161167,170,35,758,300,75,98.5789473684214
qaoa 21 18 full code fidelity,0.0494290412988164,0.3877593341372176,0.3683399621661079,0.4323934767218803,0.8003721229658498,189,37,838,316,79,103.84210526315827
qaoa 22 19 full code fidelity,0.0362751190532927,0.3507711574848343,0.3324129372693022,0.3975393692856662,0.7825766910841326,209,39,922,332,83,109.10526315789517
qaoa 23 20 full code fidelity,0.0262225132390441,0.3157247089126453,0.298492075168479,0.3640349727710416,0.7643457028101511,230,41,1010,348,87,114.36842105263204
qaoa 24 21 full code fidelity,0.0186714568076359,0.2827589419554056,0.2666941573677828,0.332022889684616,0.7457277939507668,252,43,1102,364,91,119.63157894736892
qaoa 25 22 full code fidelity,0.0130954412131977,0.2519690537792923,0.2370936957116225,0.3016163601974341,0.7267717357719958,275,45,1198,380,95,124.8947368421058
qaoa 26 23 full code fidelity,0.0090468985782724,0.2234092460711023,0.2097260222323099,0.2729001141476582,0.707526224159961,299,47,1298,396,99,130.15789473684268
qaoa 27 24 full code fidelity,0.0061562546806242,0.1970961593458564,0.1845909658386274,0.2459316892261839,0.6880396740113129,324,49,1402,412,103,135.42105263157956
qaoa 28 25 full code fidelity,0.0041263904417511,0.1730128104744652,0.1616569472229856,0.2207431426814747,0.6683600200462144,350,51,1510,428,107,140.68421052631643
qaoa 29 26 full code fidelity,0.0027243352992926,0.1511128655382295,0.1408653286765582,0.1973430802016054,0.6485345251615403,377,53,1622,444,111,145.9473684210533
qaoa 30 27 full code fidelity,0.0017716866289077,0.1313250884614265,0.1221348663154563,0.1757189246155835,0.6286095973586694,405,55,1738,460,115,151.2105263157902
