file_name,cir_fidelity,cir_fidelity_1q_gate,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_fidelity_coherence_big,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,num_big_move,total_move_dis,average_movement
qft 5,0.7598974316096649,1,0.904610480274618,0.9276563692349433,0.9249283295681434,0.9790348454502672,0.9983124838237732,20,14,78,120,30,43.789473684210556,43.55796281333174
qft 6,0.6478692282385801,1,0.8603841919146966,0.8867871865156691,0.8886435861147077,0.9555378849606202,0.9972273535900581,30,18,118,216,48,77.10526315789492,42.69548298632371
qft 7,0.5405965714612715,1,0.8101573778154735,0.8392731030692049,0.846975885368355,0.9387058946905659,0.9967320347586256,42,22,166,258,57,90.94736842105281,42.57314816643199
qft 8,0.42817816820084104,1,0.7552531090661903,0.786391514168376,0.8008264083574371,0.9002327193165721,0.9956650911107741,56,26,222,384,76,125.52631578947407,41.130143376011084
qft 9,0.3289671447097687,1,0.6970466008354952,0.7295010968306057,0.7511551214098495,0.8612616902818022,0.9942119718801872,72,30,286,472,99,165.78947368421123,42.28614040057703
qft 10,0.23878572566649142,1,0.6369088258938784,0.6699844104191454,0.6989478686545423,0.8006111094814948,0.9925757597994469,90,34,358,635,125,220.7368421052645,41.812321329014736
qft 11,0.1730645373694463,1,0.5761543988830041,0.6091932225498211,0.6451843777173243,0.7642409379034154,0.9923725487626652,110,38,438,709,131,231.36842105263318,41.03271083422831
qft 12,0.11681120991726916,1,0.515996384293716,0.5483994948939686,0.5908085978922345,0.6987052570879678,0.9904868407177735,132,42,526,857,160,289.05263157894865,41.40070903937686
qft 13,0.07407486763691931,1,0.4575100055400053,0.4887543622601732,0.5367025720391531,0.6172284908771408,0.9881600885467142,156,46,622,1063,197,360.15789473684276,41.21075846317436
qft 14,0.0447051211395229,1,0.4016064652978159,0.4312567091588406,0.48366476711039186,0.5336742687826556,0.9855942564612575,182,50,726,1266,233,445.94736842105215,41.67349003506708
qft 15,0.02694353292454409,1,0.3490173016974103,0.37673216372443347,0.43239347672188,0.4739098673852745,0.9843420694197761,210,54,838,1408,255,487.31578947368325,41.45492754649683
qft 16,0.015270440224871208,1,0.30028896908517405,0.32582256083374433,0.38347558663089387,0.406998965288774,0.9828255009168017,240,58,958,1589,276,548.315789473681,41.32184482222381
qft 17,0.007928481214651964,1,0.2557867022842223,0.27898523736235625,0.33738068325533144,0.3293143095267211,0.9808450817515124,272,62,1086,1858,307,627.1052631578826,40.767903334899245
qft 18,0.0041848170133337685,1,0.21570623976979011,0.23650096147234326,0.29446020638879367,0.27858276313534214,0.9789323942940642,306,66,1222,2009,335,685.1052631578788,40.90771024252008
qft 19,0.0019712879858093907,1,0.18009166573181268,0.19848889581374413,0.2549511156141469,0.21630339080850863,0.9757728088095599,342,70,1366,2249,379,790.9999999999744,41.29197579968051
qft 20,0.0008685738316213924,1,0.1488574871309632,0.1649267641837768,0.21898336600184204,0.1615599804940583,0.9732394310597374,380,74,1518,2544,416,885.1052631578629,41.045216222791
qft 21,0.00040499205019897824,1,0.12181307688414098,0.13567432772852994,0.18659037743833076,0.13133051992292813,0.9707808190759355,420,78,1678,2665,447,962.1052631578557,41.55653072218953
qft 22,0.00017545783250492376,1,0.09868776295209036,0.1104983608640051,0.15772163306933165,0.10201460554427562,0.9688584811403649,462,82,1846,2852,481,1019.9999999999544,41.48886177918268
qft 23,6.082907836494313e-05,1,0.07915509187866449,0.08909751893838488,0.1322565509990741,0.06521531188102933,0.9655635312634584,506,86,2022,3255,527,1153.578947368374,41.231996755777075
qft 24,2.1578799311576833e-05,1,0.0628551072319092,0.07112577357411168,0.11001883111517317,0.04387252952903723,0.9626761598227723,552,90,2206,3558,567,1257.2105263157398,41.1341871430261
