file_name,cir_fidelity,cir_fidelity_1q_gate,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_fidelity_coherence_big,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,num_big_move,total_move_dis,average_movement
qft 5,0.7552875401032343,1,0.904610480274618,0.9276563692349433,0.9230793978373364,0.9750446787090091,0.9980236795001429,20,14,80,140,32,56.52631578947374,44.58898436083123
qft 6,0.6431555366378775,1,0.8603841919146966,0.8867871865156691,0.8868671875860644,0.9504857144643094,0.9967150492207859,30,18,120,232,52,95.36842105263172,44.66357003517076
qft 7,0.5287246577645912,1,0.8101573778154735,0.8392731030692049,0.8452827805735033,0.9199301364639462,0.995089392504491,42,22,168,316,76,140.63157894736872,46.19479168177775
qft 8,0.4171445884687157,1,0.7552531090661903,0.786391514168376,0.7992255563671304,0.8787916285095324,0.9936943755231498,56,26,224,432,96,187.6842105263164,45.49025941489719
qft 9,0.3190574716349403,1,0.6970466008354952,0.7295010968306057,0.7496535623221512,0.8369905359131773,0.9922160571370916,72,30,288,524,116,234.0000000000009,45.850791345287284
qft 10,0.22903535834363403,1,0.6369088258938784,0.6699844104191454,0.6975506718651013,0.7694578023246896,0.9891057744540922,90,34,360,672,156,329.89473684210566,47.38056123765375
qft 11,0.1597751392332968,1,0.5761543988830041,0.6091932225498211,0.6438946541462671,0.7069691129950206,0.9870161437587632,110,38,440,804,180,405.0526315789474,47.52363273956276
qft 12,0.10852093939118503,1,0.515996384293716,0.5483994948939686,0.589627571505048,0.6504172586552053,0.9858814092346475,132,42,528,924,192,454.84210526315724,46.834847007738965
qft 13,0.0658744985880505,1,0.4575100055400053,0.4887543622601732,0.5356297035976458,0.5499984006300258,0.9806032528545563,156,46,624,1140,264,607.2631578947316,48.61351243584656
qft 14,0.04033467485491618,1,0.4016064652978159,0.4312567091588406,0.4826979212409384,0.48246584237256573,0.9784018119981611,182,50,728,1288,288,691.8947368420968,48.596771444014784
