file_name,cir_fidelity,cir_fidelity_1q_gate,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_fidelity_coherence_big,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,num_big_move,num_offset_move,total_move_dis,bigmov_dis,offset_dis,average_movement
qft 5 full code fidelity,0.7976829160080983,1,0.904610480274618,0.9276563692349433,0.960770210735812,0.9893774693324549,0.9992880812666967,20,14,40,56,14,42,16.947368421052623,11.789473684210524,5.157894736842106,40.81047727262439
qft 6 full code fidelity,0.7067539781171521,1,0.8603841919146966,0.8867871865156691,0.9417362622231686,0.9836195149692056,0.9990846759143243,30,18,60,72,18,54,21.789473684210513,15.157894736842099,6.631578947368425,40.81047727262439
qft 7 full code fidelity,0.6105609804121579,1,0.8101573778154735,0.8392731030692049,0.9193926150309798,0.97668684589515,0.9988812705619519,42,22,84,88,22,66,26.631578947368403,18.526315789473674,8.105263157894742,40.81047727262439
qft 8 full code fidelity,0.5142948155238145,1,0.7552531090661903,0.786391514168376,0.8939941590229388,0.9686037025137433,0.9986778652095795,56,26,112,104,26,78,31.473684210526294,21.89473684210525,9.57894736842105,40.8104772726244
qft 9 full code fidelity,0.42239334205117635,1,0.6970466008354952,0.7295010968306057,0.8658253647948596,0.9593984149041899,0.9984744598572071,72,30,144,120,30,90,36.315789473684205,25.263157894736825,11.052631578947357,40.8104772726244
qft 10 full code fidelity,0.3382542795218611,1,0.6369088258938784,0.6699844104191454,0.8351949903256742,0.9491032372401453,0.9982710545048347,90,34,180,136,34,102,41.157894736842124,28.6315789473684,12.526315789473665,40.81047727262439
qft 11 full code fidelity,0.26411335000321673,1,0.5761543988830041,0.6091932225498211,0.8024304668606921,0.9377541591891729,0.9980676491524623,110,38,220,152,38,114,46.00000000000004,31.999999999999975,13.999999999999973,40.81047727262439
qft 12 full code fidelity,0.2010748367884518,1,0.515996384293716,0.5483994948939686,0.7678721062162956,0.9253906958385986,0.9978642438000899,132,42,264,168,42,126,50.84210526315796,35.36842105263156,15.473684210526281,40.81047727262439
qft 13 full code fidelity,0.1492605065802729,1,0.4575100055400053,0.4887543622601732,0.7318672718448668,0.9120556578674585,0.9976608384477175,156,46,312,184,46,138,55.68421052631588,38.73684210526315,16.947368421052595,40.81047727262439
qft 14 full code fidelity,0.10803174979015896,1,0.4016064652978159,0.4312567091588406,0.6947646516921687,0.8977949038400904,0.9974574330953451,182,50,364,200,50,150,60.5263157894738,42.10526315789474,18.42105263157891,40.81047727262439
qft 15 full code fidelity,0.07623891709676024,1,0.3490173016974103,0.37673216372443347,0.6569087624335016,0.8826570766331371,0.9972540277429727,210,54,420,216,54,162,65.36842105263172,45.47368421052633,19.894736842105225,40.81047727262439
qft 16 full code fidelity,0.05245903924863219,1,0.30028896908517405,0.32582256083374433,0.6186348025557732,0.8666933261227854,0.9970506223906003,240,58,480,232,58,174,70.21052631578964,48.84210526315792,21.36842105263154,40.81047727262439
qft 17 full code fidelity,0.035195062933653556,1,0.2557867022842223,0.27898523736235625,0.5802639565486599,0.8499570203520916,0.9968472170382279,272,62,544,248,62,186,75.05263157894755,52.21052631578951,22.842105263157855,40.81047727262439
qft 18 full code fidelity,0.02302292261736194,1,0.21570623976979011,0.23650096147234326,0.5420992348603926,0.8325034474682912,0.9966438116858555,306,66,612,264,66,198,79.89473684210547,55.5789473684211,24.31578947368417,40.81047727262439
qft 19 full code fidelity,0.014684391299217203,1,0.18009166573181268,0.19848889581374413,0.5044219150017518,0.8143895107666443,0.9964404063334831,342,70,684,280,70,210,84.73684210526339,58.94736842105269,25.789473684210485,40.8104772726244
qft 20 full code fidelity,0.009132038282227741,1,0.1488574871309632,0.1649267641837768,0.4674886290095238,0.7956734192003978,0.9962370009811107,380,74,760,296,74,222,89.57894736842131,62.315789473684276,27.2631578947368,40.81047727262439
qft 21 full code fidelity,0.005537264503205472,1,0.12181307688414098,0.13567432772852994,0.4315291221619133,0.7764143757160044,0.9960335956287384,420,78,840,312,78,234,94.42105263157923,65.68421052631585,28.736842105263115,40.81047727262439
qft 22 full code fidelity,0.0032736939602817355,1,0.09868776295209036,0.1104983608640051,0.3967446880864642,0.7566722657490216,0.995830190276366,462,82,924,328,82,246,99.26315789473715,69.05263157894741,30.21052631578943,40.81047727262439
qft 23 full code fidelity,0.001887103137960011,1,0.07915509187866449,0.08909751893838488,0.36330726686047243,0.7365073481700697,0.9956267849239936,506,86,1012,344,86,258,104.10526315789507,72.42105263157897,31.684210526315745,40.81047727262439
qft 24 full code fidelity,0.0010606386215072435,1,0.0628551072319092,0.07112577357411168,0.3313591759281365,0.7159799509024662,0.9954233795716212,552,90,1104,360,90,270,108.94736842105299,75.78947368421053,33.157894736842074,40.8104772726244
qft 25 full code fidelity,0.0005812366173358295,1,0.049413822110038565,0.05621342054619543,0.30101342909339945,0.6951501733450752,0.9952199742192488,600,94,1200,376,94,282,113.7894736842109,79.1578947368421,34.6315789473684,40.81047727262439
qft 26 full code fidelity,0.0003105644294502958,1,0.03845939824099911,0.04398500440138737,0.27235458681947705,0.674077597626771,0.9950165688668764,650,98,1300,392,98,294,118.63157894736882,82.52631578947366,36.10526315789473,40.81047727262439
qft 27 full code fidelity,0.0001617942788365178,1,0.029634846598205214,0.034073824669237286,0.24544007177942087,0.6528210105943948,0.994813163514504,702,102,1404,408,102,306,123.47368421052674,85.89473684210522,37.57894736842106,40.81047727262439
