file_name,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,big_movement_stage,movement_distance
qft50 5 2 full code fidelity,4.366650290567992e-07,0.7328768546436804,0.002960844085304147,0.00744322814419057,0.027035881646425376,62,49,4898,2410,291,513.9473684210511
qft50 5 3 full code fidelity,4.366650290567992e-07,0.7328768546436804,0.002960844085304147,0.00744322814419057,0.027035881646425376,62,49,4898,2410,291,513.9473684210511
qft50 5 6 full code fidelity,4.366650290567992e-07,0.7328768546436804,0.002960844085304147,0.00744322814419057,0.027035881646425376,62,49,4898,2410,291,513.9473684210511
qft50 5 7 full code fidelity,4.366650290567992e-07,0.7328768546436804,0.002960844085304147,0.00744322814419057,0.027035881646425376,62,49,4898,2410,291,513.9473684210511
qft50 5 0 full code fidelity,4.366650290567992e-07,0.7328768546436804,0.002960844085304147,0.00744322814419057,0.027035881646425376,62,49,4898,2410,291,513.9473684210511
qft50 5 1 full code fidelity,4.366650290567992e-07,0.7328768546436804,0.002960844085304147,0.00744322814419057,0.027035881646425376,62,49,4898,2410,291,513.9473684210511
qft50 5 4 full code fidelity,4.366650290567992e-07,0.7328768546436804,0.002960844085304147,0.00744322814419057,0.027035881646425376,62,49,4898,2410,291,513.9473684210511
qft50 5 5 full code fidelity,4.366650290567992e-07,0.7328768546436804,0.002960844085304147,0.00744322814419057,0.027035881646425376,62,49,4898,2410,291,513.9473684210511
qft50 5 9 full code fidelity,4.366650290567992e-07,0.7328768546436804,0.002960844085304147,0.00744322814419057,0.027035881646425376,62,49,4898,2410,291,513.9473684210511
qft50 5 8 full code fidelity,4.366650290567992e-07,0.7328768546436804,0.002960844085304147,0.00744322814419057,0.027035881646425376,62,49,4898,2410,291,513.9473684210511
qft50 10 0 full code fidelity,5.034550001067176e-08,0.5211953074858882,0.0007215951356050545,0.007443228144190577,0.017984784310902266,130,63,4898,2680,319,567.4210526315713
qft50 10 1 full code fidelity,5.034550001067176e-08,0.5211953074858882,0.0007215951356050545,0.007443228144190577,0.017984784310902266,130,63,4898,2680,319,567.4210526315713
qft50 10 5 full code fidelity,5.034550001067176e-08,0.5211953074858882,0.0007215951356050545,0.007443228144190577,0.017984784310902266,130,63,4898,2680,319,567.4210526315713
qft50 10 4 full code fidelity,5.034550001067176e-08,0.5211953074858882,0.0007215951356050545,0.007443228144190577,0.017984784310902266,130,63,4898,2680,319,567.4210526315713
qft50 10 2 full code fidelity,5.034550001067176e-08,0.5211953074858882,0.0007215951356050545,0.007443228144190577,0.017984784310902266,130,63,4898,2680,319,567.4210526315713
qft50 10 3 full code fidelity,5.034550001067176e-08,0.5211953074858882,0.0007215951356050545,0.007443228144190577,0.017984784310902266,130,63,4898,2680,319,567.4210526315713
qft50 10 6 full code fidelity,5.034550001067176e-08,0.5211953074858882,0.0007215951356050545,0.007443228144190577,0.017984784310902266,130,63,4898,2680,319,567.4210526315713
qft50 10 7 full code fidelity,5.034550001067176e-08,0.5211953074858882,0.0007215951356050545,0.007443228144190577,0.017984784310902266,130,63,4898,2680,319,567.4210526315713
qft50 10 8 full code fidelity,5.034550001067176e-08,0.5211953074858882,0.0007215951356050545,0.007443228144190577,0.017984784310902266,130,63,4898,2680,319,567.4210526315713
qft50 10 9 full code fidelity,5.034550001067176e-08,0.5211953074858882,0.0007215951356050545,0.007443228144190577,0.017984784310902266,130,63,4898,2680,319,567.4210526315713
qft50 15 4 full code fidelity,8.055839487732074e-09,0.3725176948870688,0.00022475379215040049,0.0074432281441906434,0.012926934208538075,197,75,4898,2900,341,610.2631578947237
qft50 15 5 full code fidelity,8.055839487732074e-09,0.3725176948870688,0.00022475379215040049,0.0074432281441906434,0.012926934208538075,197,75,4898,2900,341,610.2631578947237
qft50 15 1 full code fidelity,8.055839487732074e-09,0.3725176948870688,0.00022475379215040049,0.0074432281441906434,0.012926934208538075,197,75,4898,2900,341,610.2631578947237
qft50 15 0 full code fidelity,8.055839487732074e-09,0.3725176948870688,0.00022475379215040049,0.0074432281441906434,0.012926934208538075,197,75,4898,2900,341,610.2631578947237
qft50 15 9 full code fidelity,8.055839487732074e-09,0.3725176948870688,0.00022475379215040049,0.0074432281441906434,0.012926934208538075,197,75,4898,2900,341,610.2631578947237
qft50 15 8 full code fidelity,8.055839487732074e-09,0.3725176948870688,0.00022475379215040049,0.0074432281441906434,0.012926934208538075,197,75,4898,2900,341,610.2631578947237
qft50 15 6 full code fidelity,8.055839487732074e-09,0.3725176948870688,0.00022475379215040049,0.0074432281441906434,0.012926934208538075,197,75,4898,2900,341,610.2631578947237
qft50 15 7 full code fidelity,8.055839487732074e-09,0.3725176948870688,0.00022475379215040049,0.0074432281441906434,0.012926934208538075,197,75,4898,2900,341,610.2631578947237
qft50 15 2 full code fidelity,8.055839487732074e-09,0.3725176948870688,0.00022475379215040049,0.0074432281441906434,0.012926934208538075,197,75,4898,2900,341,610.2631578947237
qft50 15 3 full code fidelity,8.055839487732074e-09,0.3725176948870688,0.00022475379215040049,0.0074432281441906434,0.012926934208538075,197,75,4898,2900,341,610.2631578947237
qft50 20 3 full code fidelity,2.1369187499921146e-09,0.2596621929721052,0.00011841604282695716,0.007443228144190667,0.009337001193495766,269,83,4898,3122,357,647.9473684210338
qft50 20 2 full code fidelity,2.1369187499921146e-09,0.2596621929721052,0.00011841604282695716,0.007443228144190667,0.009337001193495766,269,83,4898,3122,357,647.9473684210338
