file_name,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,big_movement_stage,movement_distance
qft50 5 2 full code fidelity,6.630441938627525e-06,0.7514768435208592,0.007859281395123728,0.0074432281441904995,0.15082825426377214,57,41,4898,1100,275,361.736842105263
qft50 5 3 full code fidelity,4.36227046458305e-06,0.7402609576967049,0.0054807635505494355,0.007443228144190485,0.1444525945869375,60,44,4898,1124,281,369.63157894736815
qft50 5 6 full code fidelity,3.793967164283507e-06,0.7292124703704624,0.004909178890275649,0.007443228144190513,0.14238665645381654,63,45,4898,1132,283,372.26315789473654
qft50 5 7 full code fidelity,3.793824178714824e-06,0.707607734727267,0.005058875666515818,0.007443228144190506,0.14238665645381654,69,45,4898,1132,283,372.26315789473654
qft50 5 0 full code fidelity,8.765195153442334e-06,0.7705488893118826,0.00984512979974119,0.007443228144190492,0.1552310567395595,52,39,4898,1084,271,356.47368421052624
qft50 5 1 full code fidelity,8.288615271589628e-07,0.6662995813682119,0.001355943827598889,0.007443228144190499,0.12325638097734543,81,56,4898,1212,303,398.57894736842036
qft50 5 4 full code fidelity,1.1754576906725846e-05,0.7783125570686423,0.012519374411297657,0.007443228144190496,0.16207237853191156,50,37,4898,1060,265,348.5789473684211
qft50 5 5 full code fidelity,3.7938956708255488e-06,0.7183288830986242,0.004983465223174393,0.007443228144190502,0.14238665645381654,66,45,4898,1132,283,372.26315789473654
qft50 5 9 full code fidelity,5.015585333812879e-06,0.7402609576967049,0.006211490828913585,0.007443228144190502,0.14654790012384378,60,43,4898,1116,279,366.9999999999998
qft50 5 8 full code fidelity,3.793848009268709e-06,0.7111635524897156,0.005033612906156153,0.007443228144190506,0.14238665645381654,68,45,4898,1132,283,372.26315789473654
qft50 10 0 full code fidelity,1.1561541649092982e-07,0.48831554144353606,0.0003206820189296265,0.007443228144190506,0.09919259712222947,143,70,4898,1332,333,438.0526315789461
qft50 10 1 full code fidelity,4.0635200904508774e-07,0.5317508269437918,0.0009084612258953202,0.007443228144190504,0.11301250737273201,126,61,4898,1260,315,414.36842105263065
qft50 10 5 full code fidelity,4.6723063228806574e-07,0.5211953074858883,0.0010504078122015978,0.007443228144190517,0.11465989430677856,130,60,4898,1252,313,411.73684210526227
qft50 10 4 full code fidelity,4.6724237186179924e-07,0.5317508269437917,0.0010295825610843379,0.007443228144190507,0.11465989430677856,126,60,4898,1252,313,411.73684210526227
qft50 10 2 full code fidelity,4.0636221899076226e-07,0.5425201222922795,0.0008904501896674857,0.007443228144190537,0.11301250737273201,122,61,4898,1260,315,414.36842105263065
qft50 10 3 full code fidelity,2.324533888021065e-07,0.5425201222922793,0.0005397473298121955,0.007443228144190493,0.10665180195287989,122,65,4898,1292,323,424.8947368421042
qft50 10 6 full code fidelity,4.122883637869781e-07,0.5452463540625923,0.0008860035040328336,0.007443228144190514,0.11465989430677856,121,61,4898,1252,313,411.73684210526227
qft50 10 7 full code fidelity,8.744245948807598e-08,0.5108493203603867,0.00023866971992522905,0.007443228144190511,0.09635425330937224,134,72,4898,1348,337,443.31578947368286
qft50 10 8 full code fidelity,7.103547519732412e-07,0.5562889678716479,0.0014327083848540243,0.0074432281441904865,0.11974453707063909,117,57,4898,1228,307,403.8421052631571
qft50 10 9 full code fidelity,2.3245922939454492e-07,0.5535075230322897,0.0005290463681926792,0.007443228144190513,0.10665180195287989,118,65,4898,1292,323,424.8947368421042
qft50 15 4 full code fidelity,5.7497261062017114e-08,0.437329046290001,0.0001914841834001684,0.007443228144190525,0.09224537403881655,165,75,4898,1372,343,451.210526315788
qft50 15 5 full code fidelity,1.0052099077692773e-07,0.40565285250151895,0.00034053746951585997,0.007443228144190517,0.09776333109997293,180,71,4898,1340,335,440.6842105263145
qft50 15 1 full code fidelity,1.0199057282803536e-07,0.4056528525015188,0.00034053746951585975,0.007443228144190513,0.09919259712222947,180,71,4898,1332,333,438.0526315789461
qft50 15 0 full code fidelity,2.5227556889013472e-08,0.38970787350474184,0.00010139361660854063,0.007443228144190525,0.08577566010726731,188,81,4898,1412,353,464.3684210526299
qft50 15 9 full code fidelity,1.783182461147447e-07,0.42225022364249654,0.0005397473298121958,0.007443228144190537,0.10511726732849459,172,67,4898,1300,325,427.52631578947256
qft50 15 8 full code fidelity,1.5283975877865572e-07,0.41386834584198723,0.00048588387408589215,0.007443228144190537,0.10211283077822197,176,68,4898,1316,329,432.7894736842093
qft50 15 6 full code fidelity,3.8358894991106726e-08,0.3706551064126334,0.00015517325605654024,0.007443228144190552,0.08960203973284782,198,78,4898,1388,347,456.47368421052477
qft50 15 7 full code fidelity,7.602844067846732e-08,0.4373290462900008,0.0002459475332739589,0.007443228144190522,0.0949650843326642,165,73,4898,1356,339,445.94736842105124
qft50 15 2 full code fidelity,8.741390263445528e-08,0.393634376409426,0.00030963872476308016,0.007443228144190512,0.09635425330937224,186,72,4898,1348,337,443.31578947368286
qft50 15 3 full code fidelity,4.998826874791343e-08,0.35608578229633064,0.0002074531184533281,0.007443228144190533,0.09091429262492862,206,76,4898,1380,345,453.8421052631564
qft50 20 3 full code fidelity,1.484710738012595e-08,0.2856078805640324,8.382843250852065e-05,0.007443228144190501,0.0833141920004981,250,85,4898,1428,357,469.6315789473667
qft50 20 2 full code fidelity,2.5590274486761983e-08,0.31257535494124183,0.00012637903375859274,0.0074432281441905385,0.08703297915793635,232,81,4898,1404,351,461.73684210526153
qft50 20 1 full code fidelity,7.599597325534182e-08,0.3110124781665358,0.0003456905267562592,0.007443228144190515,0.0949650843326642,233,73,4898,1356,339,445.94736842105124
qft50 20 0 full code fidelity,1.9633567677543914e-08,0.2870430960442533,0.00010713385151283944,0.007443228144190537,0.08577566010726731,249,83,4898,1412,353,464.3684210526299
qft50 20 4 full code fidelity,3.2864308068192685e-08,0.2799384215094009,0.00018122445524092163,0.007443228144190503,0.08703297915793635,254,79,4898,1404,351,461.73684210526153
qft50 20 5 full code fidelity,3.779343036140774e-08,0.2899351996608706,0.00019831348476467625,0.007443228144190513,0.08830835438779738,247,78,4898,1396,349,459.10526315789315
qft50 20 6 full code fidelity,1.879347170155799e-08,0.2757603055760701,0.00011151165168811807,0.00744322814419054,0.08210955213636453,257,83,4898,1436,359,472.26315789473506
qft50 20 7 full code fidelity,2.899920411073015e-08,0.2884855236625664,0.00015517325605654013,0.0074432281441905125,0.08703297915793635,248,80,4898,1404,351,461.73684210526153
qft50 20 9 full code fidelity,2.521900128110038e-08,0.29729358661854965,0.0001328669431682278,0.007443228144190516,0.08577566010726731,242,81,4898,1412,353,464.3684210526299
qft50 20 8 full code fidelity,2.596445711431382e-08,0.3048387251630739,0.00012958239037793088,0.007443228144190536,0.08830835438779738,237,81,4898,1396,349,459.10526315789315
qft50 25 5 full code fidelity,1.962419713514874e-08,0.1961106785491273,0.00015673473565025437,0.0074432281441905385,0.08577566010726731,325,83,4898,1412,353,464.3684210526299
qft50 25 4 full code fidelity,1.4841792487037075e-08,0.21462770857094127,0.00011151165168811829,0.0074432281441904995,0.0833141920004981,307,85,4898,1428,357,469.6315789473667
qft50 25 0 full code fidelity,1.2535429550881558e-08,0.21036724137609625,0.00010038347636993772,0.007443228144190511,0.0797512586856692,311,86,4898,1452,363,477.5263157894718
qft50 25 1 full code fidelity,1.681731156034554e-08,0.18373897616330573,0.00014759612660592719,0.007443228144190512,0.0833141920004981,338,84,4898,1428,357,469.6315789473667
qft50 25 9 full code fidelity,1.934340926483569e-08,0.2200748351473358,0.00013968792181613562,0.007443228144190534,0.0845361467491644,302,83,4898,1420,355,466.9999999999983
qft50 25 8 full code fidelity,1.706536160802641e-08,0.19611067854912748,0.00013829627217000384,0.007443228144190547,0.0845361467491644,325,84,4898,1420,355,466.9999999999983
qft50 25 2 full code fidelity,8.486588149846256e-09,0.20619134658263946,7.035494867685349e-05,0.007443228144190539,0.07859713404115488,315,89,4898,1460,365,480.1578947368402
qft50 25 3 full code fidelity,1.0899516346932765e-08,0.19318370215794678,9.644255366101301e-05,0.0074432281441905185,0.07859713404115488,328,87,4898,1460,365,480.1578947368402
qft50 25 6 full code fidelity,2.1604958144725545e-08,0.21570623976979014,0.00016151408575667937,0.007443228144190529,0.0833141920004981,306,82,4898,1428,357,469.6315789473667
qft50 25 7 full code fidelity,9.477411882459667e-09,0.1828202812824891,8.991456000293616e-05,0.007443228144190527,0.07745938207877726,339,88,4898,1468,367,482.7894736842086
qft50 30 4 full code fidelity,8.360271826012052e-09,0.14811319969530842,9.790193491539309e-05,0.0074432281441905185,0.07745938207877726,381,89,4898,1468,367,482.7894736842086
qft50 30 5 full code fidelity,8.484029773289145e-09,0.1620982441899555,8.946554916892141e-05,0.007443228144190535,0.07859713404115488,363,89,4898,1460,365,480.1578947368402
qft50 30 2 full code fidelity,9.61426406815872e-09,0.15035730121053856,0.00010930083592501176,0.007443228144190515,0.07859713404115488,378,88,4898,1460,365,480.1578947368402
qft50 30 3 full code fidelity,1.6573213108747272e-08,0.17563417245259197,0.00015439835960910796,0.007443228144190513,0.08210955213636453,347,84,4898,1436,359,472.26315789473506
qft50 30 6 full code fidelity,1.089890018759672e-08,0.1846622876013124,0.00010088728223560167,0.007443228144190529,0.07859713404115488,337,87,4898,1460,365,480.1578947368402
qft50 30 7 full code fidelity,9.757278955396804e-09,0.17475600159032903,9.405843424667865e-05,0.007443228144190523,0.0797512586856692,348,88,4898,1452,363,477.5263157894718
qft50 30 8 full code fidelity,8.240095487390816e-09,0.16128775296900572,8.991456000293608e-05,0.0074432281441905125,0.07633777520600298,364,89,4898,1476,369,485.42105263157697
qft50 30 9 full code fidelity,1.4410207244429414e-08,0.15888051309497406,0.00015058153692335338,0.0074432281441904995,0.0809219867453984,367,85,4898,1444,361,474.89473684210344
