file_name,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,big_movement_stage,movement_distance
qft50 5 2 full code fidelity,2.1708754570309777e-06,0.7328768546436804,0.002960844085304147,0.007443228144190492,0.13440859244486333,62,49,4898,1164,291,382.78947368421007
qft50 5 3 full code fidelity,2.1708754570309777e-06,0.7328768546436804,0.002960844085304147,0.007443228144190492,0.13440859244486333,62,49,4898,1164,291,382.78947368421007
qft50 5 6 full code fidelity,2.1708754570309777e-06,0.7328768546436804,0.002960844085304147,0.007443228144190492,0.13440859244486333,62,49,4898,1164,291,382.78947368421007
qft50 5 7 full code fidelity,2.1708754570309777e-06,0.7328768546436804,0.002960844085304147,0.007443228144190492,0.13440859244486333,62,49,4898,1164,291,382.78947368421007
qft50 5 0 full code fidelity,2.1708754570309777e-06,0.7328768546436804,0.002960844085304147,0.007443228144190492,0.13440859244486333,62,49,4898,1164,291,382.78947368421007
qft50 5 1 full code fidelity,2.1708754570309777e-06,0.7328768546436804,0.002960844085304147,0.007443228144190492,0.13440859244486333,62,49,4898,1164,291,382.78947368421007
qft50 5 4 full code fidelity,2.1708754570309777e-06,0.7328768546436804,0.002960844085304147,0.007443228144190492,0.13440859244486333,62,49,4898,1164,291,382.78947368421007
qft50 5 5 full code fidelity,2.1708754570309777e-06,0.7328768546436804,0.002960844085304147,0.007443228144190492,0.13440859244486333,62,49,4898,1164,291,382.78947368421007
qft50 5 9 full code fidelity,2.1708754570309777e-06,0.7328768546436804,0.002960844085304147,0.007443228144190492,0.13440859244486333,62,49,4898,1164,291,382.78947368421007
qft50 5 8 full code fidelity,2.1708754570309777e-06,0.7328768546436804,0.002960844085304147,0.007443228144190492,0.13440859244486333,62,49,4898,1164,291,382.78947368421007
qft50 10 0 full code fidelity,3.073310376357436e-07,0.5211953074858882,0.0007215951356050545,0.007443228144190515,0.10978702014585336,130,63,4898,1276,319,419.6315789473674
qft50 10 1 full code fidelity,3.073310376357436e-07,0.5211953074858882,0.0007215951356050545,0.007443228144190515,0.10978702014585336,130,63,4898,1276,319,419.6315789473674
qft50 10 5 full code fidelity,3.073310376357436e-07,0.5211953074858882,0.0007215951356050545,0.007443228144190515,0.10978702014585336,130,63,4898,1276,319,419.6315789473674
qft50 10 4 full code fidelity,3.073310376357436e-07,0.5211953074858882,0.0007215951356050545,0.007443228144190515,0.10978702014585336,130,63,4898,1276,319,419.6315789473674
qft50 10 2 full code fidelity,3.073310376357436e-07,0.5211953074858882,0.0007215951356050545,0.007443228144190515,0.10978702014585336,130,63,4898,1276,319,419.6315789473674
qft50 10 3 full code fidelity,3.073310376357436e-07,0.5211953074858882,0.0007215951356050545,0.007443228144190515,0.10978702014585336,130,63,4898,1276,319,419.6315789473674
qft50 10 6 full code fidelity,3.073310376357436e-07,0.5211953074858882,0.0007215951356050545,0.007443228144190515,0.10978702014585336,130,63,4898,1276,319,419.6315789473674
qft50 10 7 full code fidelity,3.073310376357436e-07,0.5211953074858882,0.0007215951356050545,0.007443228144190515,0.10978702014585336,130,63,4898,1276,319,419.6315789473674
qft50 10 8 full code fidelity,3.073310376357436e-07,0.5211953074858882,0.0007215951356050545,0.007443228144190515,0.10978702014585336,130,63,4898,1276,319,419.6315789473674
qft50 10 9 full code fidelity,3.073310376357436e-07,0.5211953074858882,0.0007215951356050545,0.007443228144190515,0.10978702014585336,130,63,4898,1276,319,419.6315789473674
qft50 15 4 full code fidelity,5.832711017480775e-08,0.3725176948870688,0.00022475379215040049,0.00744322814419049,0.09359554853992938,197,75,4898,1364,341,448.5789473684196
