file_name,cir_fidelity,cir_fidelity_1q_gate,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_fidelity_coherence_big,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,num_big_move,num_offset_move,total_move_dis,bigmov_dis,offset_dis,average_movement
qft50 5 2 full code fidelity,1.6545742441995203e-06,1,0.7514768435208592,0.007859281395123728,0.0074432281441905645,0.03763799564378191,0.9873004278814886,57,41,4898,2148,234,1914,431.5789473684215,226.4210526315788,205.15789473684669,32.939498184609796
qft50 5 3 full code fidelity,1.0984206431549636e-06,1,0.7402609576967049,0.0054807635505494355,0.007443228144190546,0.036373194449957506,0.9871543328340148,60,44,4898,2168,237,1931,436.0526315789477,228.73684210526298,207.31578947368882,32.96774308460075
qft50 5 6 full code fidelity,9.79870503889295e-07,1,0.7292124703704624,0.004909178890275649,0.007443228144190566,0.036774299503686055,0.9871034814959216,63,45,4898,2157,238,1919,435.1052631578951,229.5789473684209,205.52631578947828,32.993101018089526
qft50 5 7 full code fidelity,9.593346185546036e-07,1,0.707607734727267,0.005058875666515818,0.0074432281441905645,0.03600494970820158,0.9871018667542203,69,45,4898,2172,238,1934,437.3157894736844,229.63157894736824,207.68421052632047,32.983301578755515
qft50 5 0 full code fidelity,2.1903261497855937e-06,1,0.7705488893118826,0.00984512979974119,0.0074432281441905715,0.0387905388166942,0.9874053600410776,52,39,4898,2128,232,1896,427.15789473684265,224.63157894736824,202.5263157894782,32.9071273974677
qft50 5 1 full code fidelity,2.2895444105877992e-07,1,0.6662995813682119,0.001355943827598889,0.007443228144190557,0.03404681589013331,0.9865998123400948,81,56,4898,2196,248,1948,447.15789473684225,237.8421052631577,209.3157894736889,33.14596872886633
qft50 5 4 full code fidelity,2.9030345770988042e-06,1,0.7783125570686423,0.012519374411297657,0.007443228144190558,0.040027107960097244,0.98754984034685,50,37,4898,2111,229,1882,423.2631578947375,222.36842105263145,200.89473684210975,32.882004720420355
qft50 5 5 full code fidelity,9.643465798714695e-07,1,0.7183288830986242,0.004983465223174393,0.007443228144190548,0.03619237245411455,0.9871050962376231,66,45,4898,2169,238,1931,436.89473684210566,229.52631578947353,207.36842105263625,32.98938811454923
qft50 5 9 full code fidelity,1.2638827765178453e-06,1,0.7402609576967049,0.006211490828913585,0.007443228144190559,0.036928763957561304,0.9872019546887052,60,43,4898,2157,236,1921,433.78947368421086,227.99999999999983,205.78947368421515,32.95243672429125
qft50 5 8 full code fidelity,9.627638970136761e-07,1,0.7111635524897156,0.005033612906156153,0.007443228144190555,0.03613342756887276,0.9871083257210258,68,45,4898,2170,238,1932,436.5789473684213,229.42105263157876,207.15789473684674,32.96762261710606
qft50 10 0 full code fidelity,3.1186418704968654e-08,1,0.48831554144353606,0.0003206820189296265,0.007443228144190568,0.026756482484580915,0.9858515749440107,143,70,4898,2346,263,2083,476.10526315789446,249.99999999999972,226.1052631578999,33.183532687266
qft50 10 1 full code fidelity,1.0271007217376487e-07,1,0.5317508269437918,0.0009084612258953202,0.007443228144190562,0.028565191091508565,0.9862995485366403,126,61,4898,2314,254,2060,466.2105263157893,242.73684210526292,223.4736842105314,33.073508966332874
qft50 10 5 full code fidelity,1.2134974475145077e-07,1,0.5211953074858883,0.0010504078122015978,0.007443228144190573,0.02977961620199874,0.9863552440998375,130,60,4898,2285,253,2032,461.26315789473676,241.73684210526292,219.52631578947867,33.07584030927339
qft50 10 4 full code fidelity,1.2021530070678605e-07,1,0.5317508269437917,0.0010295825610843379,0.007443228144190559,0.029500478773304795,0.9863600883249416,126,60,4898,2293,253,2040,462.6842105263155,241.5789473684208,221.10526315789974,33.088367022850164
qft50 10 2 full code fidelity,1.0837762202406367e-07,1,0.5425201222922795,0.0008904501896674857,0.007443228144190552,0.030140663269466163,0.9863060075034458,122,61,4898,2275,254,2021,460.6842105263158,242.52631578947341,218.15789473684706,33.1126410496582
qft50 10 3 full code fidelity,6.216429385737921e-08,1,0.5425201222922793,0.0005397473298121955,0.007443228144190566,0.028521562930028957,0.986100987409372,122,65,4898,2307,258,2049,467.8421052631578,245.9473684210524,221.8947368421103,33.15336200774634
qft50 10 6 full code fidelity,1.0728446715861793e-07,1,0.5452463540625923,0.0008860035040328336,0.007443228144190578,0.029836460947323513,0.9863568588415389,121,61,4898,2284,253,2031,461.1578947368421,241.68421052631555,219.47368421053127,33.080107669918725
qft50 10 7 full code fidelity,2.427611712778578e-08,1,0.5108493203603867,0.00023866971992522905,0.00744322814419057,0.0267502441353175,0.9857514870095258,134,72,4898,2342,265,2077,477.2631578947363,251.63157894736813,225.63157894737358,33.24298649633983
qft50 10 8 full code fidelity,1.794383103352218e-07,1,0.5562889678716479,0.0014327083848540243,0.0074432281441905715,0.030247925200953624,0.986504568630714,117,57,4898,2279,250,2029,458.94736842105254,239.315789473684,219.63157894737338,33.05041319636742
qft50 10 9 full code fidelity,6.191286260032152e-08,1,0.5535075230322897,0.0005290463681926792,0.007443228144190577,0.028405490191047895,0.986100987409372,118,65,4898,2311,258,2053,468.315789473684,245.94736842105237,222.36842105263665,33.145278688152395
qft50 15 4 full code fidelity,1.5535142744947708e-08,1,0.437329046290001,0.0001914841834001684,0.007443228144190566,0.024923709873908673,0.9856021624786492,165,75,4898,2390,268,2122,484.89473684210486,254.05263157894706,230.8421052631632,33.199652380449336
qft50 15 5 full code fidelity,2.5513820923503272e-08,1,0.40565285250151895,0.00034053746951585997,0.007443228144190577,0.02481388318291785,0.9858039530893202,180,71,4898,2398,264,2134,482.94736842105215,250.73684210526287,232.2105263157948,33.10267766645549
qft50 15 1 full code fidelity,2.6017463124133528e-08,1,0.4056528525015188,0.00034053746951585975,0.007443228144190568,0.025303708629678578,0.9858515749440107,180,71,4898,2387,263,2124,481.4736842105257,249.99999999999974,231.47368421053162,33.1275550179602
qft50 15 0 full code fidelity,6.834820009063921e-09,1,0.38970787350474184,0.00010139361660854063,0.007443228144190592,0.02323892085829073,0.9853511352715865,188,81,4898,2431,273,2158,494.1052631578939,258.1578947368418,235.94736842105803,33.25630636083779
qft50 15 9 full code fidelity,4.3958508499472835e-08,1,0.42225022364249654,0.0005397473298121958,0.007443228144190589,0.02591321073406897,0.9860517508129802,172,67,4898,2378,259,2119,477.2631578947364,246.7368421052629,230.52631578947896,33.04957220533294
qft50 15 8 full code fidelity,3.7954475554341486e-08,1,0.41386834584198723,0.00048588387408589215,0.007443228144190579,0.02535753111969613,0.9859548923618981,176,68,4898,2389,261,2128,480.0526315789466,248.26315789473657,231.78947368421584,33.07503049063342
qft50 15 6 full code fidelity,9.696289899134423e-09,1,0.3706551064126334,0.00015517325605654024,0.007443228144190564,0.022649436408553474,0.9855020745441644,198,78,4898,2456,270,2186,494.6315789473677,255.6842105263155,238.94736842105812,33.13551979590548
qft50 15 7 full code fidelity,1.9794995816326492e-08,1,0.4373290462900008,0.0002459475332739589,0.007443228144190566,0.02472539789435105,0.9857038651548354,165,73,4898,2399,266,2133,484.78947368421007,252.36842105263128,232.42105263158425,33.15537743314737
qft50 15 2 full code fidelity,2.1872564902096865e-08,1,0.393634376409426,0.00030963872476308016,0.007443228144190583,0.02410960494368321,0.9857514870095258,186,72,4898,2418,265,2153,486.63157894736764,251.63157894736813,235.0000000000054,33.11092879907069
qft50 15 3 full code fidelity,1.2335344886261852e-08,1,0.35608578229633064,0.0002074531184533281,0.007443228144190559,0.022434446775391356,0.9855513111405562,206,76,4898,2464,269,2195,495.105263157894,254.89473684210498,240.210526315795,33.11122531873969
qft50 20 3 full code fidelity,3.84101560392754e-09,1,0.2856078805640324,8.382843250852065e-05,0.007443228144190576,0.021553768239790983,0.9852510473371017,250,85,4898,2483,275,2208,501.4736842105254,259.78947368421024,241.68421052632138,33.185324468766716
qft50 20 2 full code fidelity,6.339532451742641e-09,1,0.31257535494124183,0.00012637903375859274,0.0074432281441906036,0.021560862742171706,0.9854052160930823,232,81,4898,2488,272,2216,500.0526315789464,257.2105263157892,242.8421052631635,33.1270164745565
qft50 20 1 full code fidelity,1.7631138214947443e-08,1,0.3110124781665358,0.0003456905267562592,0.007443228144190591,0.022031990061337027,0.9857038651548354,233,73,4898,2483,266,2217,495.57894736842,252.36842105263128,243.21052631579508,33.036373734531495
qft50 20 0 full code fidelity,5.0348619577981e-09,1,0.2870430960442533,0.00010713385151283944,0.0074432281441906036,0.021996440742303315,0.9853559794966905,249,83,4898,2473,273,2200,498.99999999999915,257.9999999999997,241.00000000000557,33.17598108206304
qft50 20 4 full code fidelity,8.011864397123966e-09,1,0.2799384215094009,0.00018122445524092163,0.007443228144190609,0.02121743825076793,0.9854036013513809,254,79,4898,2500,272,2228,501.36842105263054,257.2631578947366,244.10526315790034,33.098422014092385
qft50 20 5 full code fidelity,9.489931044051074e-09,1,0.2899351996608706,0.00019831348476467625,0.0074432281441905975,0.02217422937637242,0.9854528379477726,247,78,4898,2469,271,2198,496.78947368420967,256.473684210526,240.31578947368973,33.12694584213218
qft50 20 6 full code fidelity,4.579071213783531e-09,1,0.2757603055760701,0.00011151165168811807,0.007443228144190587,0.02000617515140181,0.9852018107407099,257,83,4898,2537,276,2261,509.1052631578936,260.57894736842076,248.5263157894794,33.128806189154
qft50 20 7 full code fidelity,7.224970586661462e-09,1,0.2884855236625664,0.00015517325605654013,0.0074432281441906,0.021683723183731556,0.9854003718679781,248,80,4898,2485,272,2213,499.68421052631476,257.36842105263133,242.3157894736898,33.12761998753967
qft50 20 9 full code fidelity,6.0167886791926736e-09,1,0.29729358661854965,0.0001328669431682278,0.00744322814419059,0.0204644908389156,0.9853527500132878,242,81,4898,2524,273,2251,505.2105263157884,258.10526315789446,247.10526315790045,33.08608003916191
qft50 20 8 full code fidelity,6.4670835057811895e-09,1,0.3048387251630739,0.00012958239037793088,0.007443228144190565,0.02199535694390331,0.9854528379477726,237,81,4898,2476,271,2205,497.84210526315707,256.473684210526,241.3684210526371,33.124220822473994
qft50 25 5 full code fidelity,4.437910026985184e-09,1,0.1961106785491273,0.00015673473565025437,0.007443228144190619,0.019397719022069198,0.9853543647549892,325,83,4898,2564,273,2291,510.0526315789463,258.05263157894706,252.00000000000585,33.0204195109798
qft50 25 4 full code fidelity,3.5236398612025637e-09,1,0.21462770857094127,0.00011151165168811829,0.007443228144190596,0.01977990247426249,0.9852494325954002,307,85,4898,2545,275,2270,509.5263157894724,259.8421052631576,249.68421052632158,33.10149475212415
qft50 25 0 full code fidelity,2.9721636081760146e-09,1,0.21036724137609625,0.00010038347636993772,0.007443228144190593,0.018909107805971048,0.9851049522896278,311,86,4898,2574,278,2296,514.7894736842089,262.10526315789446,252.6842105263217,33.096929701652186
qft50 25 1 full code fidelity,3.7222309493981146e-09,1,0.18373897616330573,0.00014759612660592719,0.007443228144190598,0.018440204480696165,0.9852510473371017,338,84,4898,2598,275,2323,515.8947368421037,259.78947368421024,256.10526315790065,33.01276383191306
qft50 25 9 full code fidelity,4.463420922131363e-09,1,0.2200748351473358,0.00013968792181613562,0.007443228144190589,0.01950640659619988,0.9853018986751947,302,83,4898,2557,274,2283,510.21052631578823,258.9473684210523,251.26315789474268,33.061960354621114
qft50 25 8 full code fidelity,3.838829857482657e-09,1,0.19611067854912748,0.00013829627217000384,0.007443228144190588,0.01901629110657658,0.9853051281585975,325,84,4898,2578,274,2304,512.2631578947355,258.84210526315763,253.42105263158487,33.00808974696507
qft50 25 2 full code fidelity,2.0612466615720606e-09,1,0.20619134658263946,7.035494867685349e-05,0.007443228144190597,0.019089895408014583,0.985050871468132,315,89,4898,2564,279,2285,514.4210526315776,263.05263157894706,251.36842105263744,33.13486255438645
qft50 25 3 full code fidelity,2.6060911019224484e-09,1,0.19318370215794678,9.644255366101301e-05,0.007443228144190613,0.018792695486795494,0.985050871468132,328,87,4898,2577,279,2298,515.9999999999984,263.05263157894706,252.9473684210585,33.113160726328594
qft50 25 6 full code fidelity,4.942312389841068e-09,1,0.21570623976979014,0.00016151408575667937,0.007443228144190598,0.01905880865935305,0.985252662078803,306,82,4898,2574,275,2299,512.8421052631564,259.73684210526284,253.10526315790065,33.04699230330071
qft50 25 7 full code fidelity,2.220349005766423e-09,1,0.1828202812824891,8.991456000293616e-05,0.007443228144190591,0.018147028336311738,0.9850032496134415,339,88,4898,2603,280,2323,519.9999999999978,263.7894736842102,256.2105263157954,33.09680324921656
qft50 30 4 full code fidelity,1.917348018485482e-09,1,0.14811319969530842,9.790193491539309e-05,0.007443228144190588,0.017764565056336955,0.9850016348717402,381,89,4898,2619,280,2339,521.5263157894717,263.8421052631576,257.6842105263217,33.05102909828874
