file_name,avg_degree,eonla cir_fidelity,LNN cir_fidelity,zz cir_fidelity
qft50 5 0,2.48,0.153904487,2.17E-06,4.37E-07
qft50 5 1,2.48,0.153904487,2.17E-06,4.37E-07
qft50 5 2,2.48,0.153904487,2.17E-06,4.37E-07
qft50 5 3,2.48,0.153904487,2.17E-06,4.37E-07
qft50 5 4,2.48,0.153904487,2.17E-06,4.37E-07
qft50 5 5,2.48,0.153904487,2.17E-06,4.37E-07
qft50 5 6,2.48,0.153904487,2.17E-06,4.37E-07
qft50 5 7,2.48,0.153904487,2.17E-06,4.37E-07
qft50 5 8,2.48,0.153904487,2.17E-06,4.37E-07
qft50 5 9,2.48,0.153904487,2.17E-06,4.37E-07
qft50 10 0,5.2,0.048020135,3.07E-07,5.03E-08
qft50 10 1,5.2,0.048020135,3.07E-07,5.03E-08
qft50 10 2,5.2,0.048020135,3.07E-07,5.03E-08
qft50 10 3,5.2,0.048020135,3.07E-07,5.03E-08
qft50 10 4,5.2,0.048020135,3.07E-07,5.03E-08
qft50 10 5,5.2,0.048020135,3.07E-07,5.03E-08
qft50 10 6,5.2,0.048020135,3.07E-07,5.03E-08
qft50 10 7,5.2,0.048020135,3.07E-07,5.03E-08
qft50 10 8,5.2,0.048020135,3.07E-07,5.03E-08
qft50 10 9,5.2,0.048020135,3.07E-07,5.03E-08
qft50 15 0,7.88,0.005784452,5.83E-08,8.06E-09
qft50 15 1,7.88,0.005784452,5.83E-08,8.06E-09
qft50 15 2,7.88,0.005784452,5.83E-08,8.06E-09
qft50 15 3,7.88,0.005784452,5.83E-08,8.06E-09
qft50 15 4,7.88,0.005784452,5.83E-08,8.06E-09
qft50 15 5,7.88,0.005784452,5.83E-08,8.06E-09
qft50 15 6,7.88,0.005784452,5.83E-08,8.06E-09
qft50 15 7,7.88,0.005784452,5.83E-08,8.06E-09
qft50 15 8,7.88,0.005784452,5.83E-08,8.06E-09
qft50 15 9,7.88,0.005784452,5.83E-08,8.06E-09
qft50 20 0,10.76,0.002067097,1.91E-08,2.14E-09
qft50 20 1,10.76,0.002067097,1.91E-08,2.14E-09
qft50 20 2,10.76,0.002067097,1.91E-08,2.14E-09
qft50 20 3,10.76,0.002067097,1.91E-08,2.14E-09
qft50 20 4,10.76,0.002067097,1.91E-08,2.14E-09
qft50 20 5,10.76,0.002067097,1.91E-08,2.14E-09
qft50 20 6,10.76,0.002067097,1.91E-08,2.14E-09
qft50 20 7,10.76,0.002067097,1.91E-08,2.14E-09
qft50 20 8,10.76,0.002067097,1.91E-08,2.14E-09
qft50 20 9,10.76,0.002067097,1.91E-08,2.14E-09
qft50 25 0,12.96,0.000589791,1.93E-08,1.90E-09
qft50 25 1,12.96,0.000589791,1.93E-08,1.90E-09
qft50 25 2,12.96,0.000589791,1.93E-08,1.90E-09
qft50 25 3,12.96,0.000589791,1.93E-08,1.90E-09
qft50 25 4,12.96,0.000589791,1.93E-08,1.90E-09
qft50 25 5,12.96,0.000589791,1.93E-08,1.90E-09
qft50 25 6,12.96,0.000589791,1.93E-08,1.90E-09
qft50 25 7,12.96,0.000589791,1.93E-08,1.90E-09
qft50 25 8,12.96,0.000589791,1.93E-08,1.90E-09
qft50 25 9,12.96,0.000589791,1.93E-08,1.90E-09
qft50 30 0,14.92,0.000169946,1.12E-08,1.02E-09
qft50 30 1,14.92,0.000169946,1.12E-08,1.02E-09
qft50 30 2,14.92,0.000169946,1.12E-08,1.02E-09
qft50 30 3,14.92,0.000169946,1.12E-08,1.02E-09
qft50 30 4,14.92,0.000169946,1.12E-08,1.02E-09
qft50 30 5,14.92,0.000169946,1.12E-08,1.02E-09
qft50 30 6,14.92,0.000169946,1.12E-08,1.02E-09
qft50 30 7,14.92,0.000169946,1.12E-08,1.02E-09
qft50 30 8,14.92,0.000169946,1.12E-08,1.02E-09
qft50 30 9,14.92,0.000169946,1.12E-08,1.02E-09
qft50 35 0,16.92,2.68E-05,6.41E-09,5.79E-10
qft50 35 1,16.92,2.68E-05,6.41E-09,5.79E-10
qft50 35 2,16.92,2.68E-05,6.41E-09,5.79E-10
qft50 35 3,16.92,2.68E-05,6.41E-09,5.79E-10
qft50 35 4,16.92,2.68E-05,6.41E-09,5.79E-10
qft50 35 5,16.92,2.68E-05,6.41E-09,5.79E-10
qft50 35 6,16.92,2.68E-05,6.41E-09,5.79E-10
qft50 35 7,16.92,2.68E-05,6.41E-09,5.79E-10
qft50 35 8,16.92,2.68E-05,6.41E-09,5.79E-10
qft50 35 9,16.92,2.68E-05,6.41E-09,5.79E-10
qft50 40 0,19.64,1.01E-05,4.78E-09,3.98E-10
qft50 40 1,19.64,1.01E-05,4.78E-09,3.98E-10
qft50 40 2,19.64,1.01E-05,4.78E-09,3.98E-10
qft50 40 3,19.64,1.01E-05,4.78E-09,3.98E-10
qft50 40 4,19.64,1.01E-05,4.78E-09,3.98E-10
qft50 40 5,19.64,1.01E-05,4.78E-09,3.98E-10
qft50 40 6,19.64,1.01E-05,4.78E-09,3.98E-10
qft50 40 7,19.64,1.01E-05,4.78E-09,3.98E-10
qft50 40 8,19.64,1.01E-05,4.78E-09,3.98E-10
qft50 40 9,19.64,1.01E-05,4.78E-09,3.98E-10
qft50 45 0,21.68,2.18E-06,6.41E-09,5.30E-10
qft50 45 1,21.68,2.18E-06,6.41E-09,5.30E-10
qft50 45 2,21.68,2.18E-06,6.41E-09,5.30E-10
qft50 45 3,21.68,2.18E-06,6.41E-09,5.30E-10
qft50 45 4,21.68,2.18E-06,6.41E-09,5.30E-10
qft50 45 5,21.68,2.18E-06,6.41E-09,5.30E-10
qft50 45 6,21.68,2.18E-06,6.41E-09,5.30E-10
qft50 45 7,21.68,2.18E-06,6.41E-09,5.30E-10
qft50 45 8,21.68,2.18E-06,6.41E-09,5.30E-10
qft50 45 9,21.68,2.18E-06,6.41E-09,5.30E-10
qft50 50 0,24.52,7.00E-07,5.49E-09,4.39E-10
qft50 50 1,24.52,7.00E-07,5.49E-09,4.39E-10
qft50 50 2,24.52,7.00E-07,5.49E-09,4.39E-10
qft50 50 3,24.52,7.00E-07,5.49E-09,4.39E-10
qft50 50 4,24.52,7.00E-07,5.49E-09,4.39E-10
qft50 50 5,24.52,7.00E-07,5.49E-09,4.39E-10
qft50 50 6,24.52,7.00E-07,5.49E-09,4.39E-10
qft50 50 7,24.52,7.00E-07,5.49E-09,4.39E-10
qft50 50 8,24.52,7.00E-07,5.49E-09,4.39E-10
qft50 50 9,24.52,7.00E-07,5.49E-09,4.39E-10
qft50 55 0,27.36,1.78E-07,4.98E-09,3.83E-10
qft50 55 1,27.36,1.78E-07,4.98E-09,3.83E-10
qft50 55 2,27.36,1.78E-07,4.98E-09,3.83E-10
qft50 55 3,27.36,1.78E-07,4.98E-09,3.83E-10
qft50 55 4,27.36,1.78E-07,4.98E-09,3.83E-10
qft50 55 5,27.36,1.78E-07,4.98E-09,3.83E-10
qft50 55 6,27.36,1.78E-07,4.98E-09,3.83E-10
qft50 55 7,27.36,1.78E-07,4.98E-09,3.83E-10
qft50 55 8,27.36,1.78E-07,4.98E-09,3.83E-10
qft50 55 9,27.36,1.78E-07,4.98E-09,3.83E-10
qft50 60 0,28.56,5.01E-08,5.65E-09,4.77E-10
qft50 60 1,28.56,5.01E-08,5.65E-09,4.77E-10
qft50 60 2,28.56,5.01E-08,5.65E-09,4.77E-10
qft50 60 3,28.56,5.01E-08,5.65E-09,4.77E-10
qft50 60 4,28.56,5.01E-08,5.65E-09,4.77E-10
qft50 60 5,28.56,5.01E-08,5.65E-09,4.77E-10
qft50 60 6,28.56,5.01E-08,5.65E-09,4.77E-10
qft50 60 7,28.56,5.01E-08,5.65E-09,4.77E-10
qft50 60 8,28.56,5.01E-08,5.65E-09,4.77E-10
qft50 60 9,28.56,5.01E-08,5.65E-09,4.77E-10
qft50 65 0,32.36,5.88E-09,4.39E-09,3.68E-10
qft50 65 1,32.36,5.88E-09,4.39E-09,3.68E-10
qft50 65 2,32.36,5.88E-09,4.39E-09,3.68E-10
qft50 65 3,32.36,5.88E-09,4.39E-09,3.68E-10
qft50 65 4,32.36,5.88E-09,4.39E-09,3.68E-10
qft50 65 5,32.36,5.88E-09,4.39E-09,3.68E-10
qft50 65 6,32.36,5.88E-09,4.39E-09,3.68E-10
qft50 65 7,32.36,5.88E-09,4.39E-09,3.68E-10
qft50 65 8,32.36,5.88E-09,4.39E-09,3.68E-10
qft50 65 9,32.36,5.88E-09,4.39E-09,3.68E-10
qft50 70 0,34.04,2.33E-09,3.88E-09,3.72E-10
qft50 70 1,34.04,2.33E-09,3.88E-09,3.72E-10
qft50 70 2,34.04,2.33E-09,3.88E-09,3.72E-10
qft50 70 3,34.04,2.33E-09,3.88E-09,3.72E-10
qft50 70 4,34.04,2.33E-09,3.88E-09,3.72E-10
qft50 70 5,34.04,2.33E-09,3.88E-09,3.72E-10
qft50 70 6,34.04,2.33E-09,3.88E-09,3.72E-10
qft50 70 7,34.04,2.33E-09,3.88E-09,3.72E-10
qft50 70 8,34.04,2.33E-09,3.88E-09,3.72E-10
qft50 70 9,34.04,2.33E-09,3.88E-09,3.72E-10
qft50 75 0,36.48,9.36E-10,4.23E-09,4.38E-10
qft50 75 1,36.48,9.36E-10,4.23E-09,4.38E-10
qft50 75 2,36.48,9.36E-10,4.23E-09,4.38E-10
qft50 75 3,36.48,9.36E-10,4.23E-09,4.38E-10
qft50 75 4,36.48,9.36E-10,4.23E-09,4.38E-10
