prob,i,LNN time 1,zigzag time
95,0,1.9392807483673096,2.6635489463806152
95,1,1.8981256484985352,2.824411153793335
95,2,1.9121794700622559,2.6589269638061523
95,3,1.8815526962280273,2.68239164352417
95,4,1.9009783267974854,2.6294467449188232
95,5,1.8925371170043945,2.636329412460327
95,6,1.8982419967651367,2.663417339324951
95,7,1.9319469928741455,2.7338478565216064
95,8,1.88557767868042,2.626406669616699
95,9,1.8941481113433838,2.6517257690429688
90,0,2.1688108444213867,3.0946149826049805
90,1,2.236359119415283,3.1742117404937744
90,2,2.309460163116455,3.132410764694214
90,3,2.2705681324005127,3.090428352355957
90,4,2.1622915267944336,3.00178861618042
90,5,2.1948609352111816,3.0468599796295166
90,6,2.1540350914001465,2.9835994243621826
90,7,2.1614229679107666,3.032350778579712
90,8,2.149632692337036,2.9515905380249023
90,9,2.1799638271331787,3.097459077835083
85,0,2.2829487323760986,3.208174705505371
85,1,2.265235424041748,3.1824707984924316
85,2,2.3123905658721924,3.26389741897583
85,3,2.3147385120391846,3.2438721656799316
85,4,2.2495193481445312,3.1891188621520996
85,5,2.25665020942688,3.1760878562927246
85,6,2.3108646869659424,3.2435145378112793
85,7,2.338611602783203,3.2761828899383545
85,8,2.2507259845733643,3.191821813583374
85,9,2.2751166820526123,3.2789437770843506
80,0,2.342393636703491,3.2973783016204834
80,1,2.24176025390625,3.1797032356262207
80,2,2.2514166831970215,3.259739637374878
80,3,2.317668914794922,3.2736001014709473
80,4,2.2531495094299316,3.182588815689087
80,5,2.2407596111297607,3.2026901245117188
80,6,2.3073720932006836,3.277930498123169
80,7,2.240915298461914,3.305478811264038
80,8,2.2679240703582764,3.2315053939819336
80,9,2.262327194213867,3.2904469966888428
75,0,2.4340248107910156,3.535524845123291
75,1,2.4600014686584473,3.503631830215454
75,2,2.348926067352295,3.40218186378479
75,3,2.3609278202056885,3.394835948944092
75,4,2.3394994735717773,3.495222806930542
75,5,2.3686254024505615,3.496347188949585
75,6,2.362546443939209,3.504549026489258
75,7,2.3582584857940674,3.500537395477295
75,8,2.427894115447998,3.497655153274536
75,9,2.436763286590576,3.5348165035247803
70,0,2.5629472732543945,3.7531466484069824
70,1,2.4231457710266113,3.563065528869629
70,2,2.4276506900787354,3.5745294094085693
70,3,2.4363653659820557,3.6091341972351074
70,4,2.4232187271118164,3.593005657196045
70,5,2.420728921890259,3.56770920753479
