file_name,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,big_movement_stage,movement_distance
qft50 5 2 full code fidelity,1.3285082244760914e-06,0.7514768435208592,0.007859281395123728,0.007443228144190568,0.030220696919980524,57,41,4898,2354,275,493.7368421052621
qft50 5 3 full code fidelity,8.560308328056472e-07,0.7402609576967049,0.0054807635505494355,0.007443228144190541,0.028346677687489698,60,44,4898,2394,281,503.31578947368286
qft50 5 6 full code fidelity,7.68760832654428e-07,0.7292124703704624,0.004909178890275649,0.007443228144190578,0.028851405358693148,63,45,4898,2372,283,502.7894736842095
qft50 5 7 full code fidelity,7.409251625633994e-07,0.707607734727267,0.005058875666515818,0.007443228144190572,0.027807787501538856,69,45,4898,2402,283,505.94736842105107
qft50 5 0 full code fidelity,1.7976404840476476e-06,0.7705488893118826,0.00984512979974119,0.007443228144190555,0.03183610029115401,52,39,4898,2314,271,485.94736842105186
qft50 5 1 full code fidelity,1.6826295199049768e-07,0.6662995813682119,0.001355943827598889,0.007443228144190578,0.02502164937731008,81,56,4898,2450,303,528.8947368421022
qft50 5 4 full code fidelity,2.4529357625119537e-06,0.7783125570686423,0.012519374411297657,0.007443228144190561,0.0338211350838856,50,37,4898,2280,265,476.99999999999943
qft50 5 5 full code fidelity,7.484753583734109e-07,0.7183288830986242,0.004983465223174393,0.007443228144190571,0.028090625827270288,66,45,4898,2396,283,505.31578947368297
qft50 5 9 full code fidelity,9.954026259736925e-07,0.7402609576967049,0.006211490828913585,0.007443228144190574,0.029084175605743043,60,43,4898,2372,279,499.21052631578834
qft50 5 8 full code fidelity,7.435475608314676e-07,0.7111635524897156,0.005033612906156153,0.007443228144190562,0.02790603388499743,68,45,4898,2398,283,505.52631578947233
qft50 10 0 full code fidelity,1.8529080752688488e-08,0.48831554144353606,0.0003206820189296265,0.007443228144190584,0.015897081011604156,143,70,4898,2750,333,587.3157894736752
qft50 10 1 full code fidelity,6.480829631500463e-08,0.5317508269437918,0.0009084612258953202,0.007443228144190594,0.018024146311777935,126,61,4898,2686,315,564.4736842105192
qft50 10 5 full code fidelity,7.903716612137805e-08,0.5211953074858883,0.0010504078122015978,0.007443228144190588,0.019395973824329872,130,60,4898,2628,313,556.5789473684148
qft50 10 4 full code fidelity,7.806294338161866e-08,0.5317508269437917,0.0010295825610843379,0.007443228144190595,0.019156415120801074,126,60,4898,2644,313,558.2631578947304
qft50 10 2 full code fidelity,7.134681490335389e-08,0.5425201222922795,0.0008904501896674857,0.007443228144190562,0.019842106545514007,122,61,4898,2608,315,556.263157894731
qft50 10 3 full code fidelity,3.908212934129159e-08,0.5425201222922793,0.0005397473298121955,0.007443228144190603,0.017931248668319834,122,65,4898,2672,323,570.1578947368347
qft50 10 6 full code fidelity,7.003594816744913e-08,0.5452463540625923,0.0008860035040328336,0.007443228144190601,0.019477421920895546,121,61,4898,2626,313,556.3684210526255
qft50 10 7 full code fidelity,1.4457146808815041e-08,0.5108493203603867,0.00023866971992522905,0.007443228144190572,0.015930562725506272,134,72,4898,2742,337,590.0526315789375
qft50 10 8 full code fidelity,1.1904059732654922e-07,0.5562889678716479,0.0014327083848540243,0.007443228144190595,0.020066679613085416,117,57,4898,2616,307,549.9473684210467
qft50 10 9 full code fidelity,3.8782243700093064e-08,0.5535075230322897,0.0005290463681926792,0.007443228144190583,0.017793211244671165,118,65,4898,2680,323,570.9999999999923
qft50 15 4 full code fidelity,8.658776279839944e-09,0.437329046290001,0.0001914841834001684,0.007443228144190594,0.013891654000539962,165,75,4898,2838,343,605.5263157894625
qft50 15 5 full code fidelity,1.4138448033338677e-08,0.40565285250151895,0.00034053746951585997,0.007443228144190616,0.013750578517380558,180,71,4898,2854,335,600.0526315789366
qft50 15 1 full code fidelity,1.4749361604229042e-08,0.4056528525015188,0.00034053746951585975,0.007443228144190626,0.014344732487042072,180,71,4898,2832,333,595.9473684210419
qft50 15 0 full code fidelity,3.600985631738081e-09,0.38970787350474184,0.00010139361660854063,0.007443228144190632,0.012243631872796585,188,81,4898,2920,353,623.1052631578806
qft50 15 9 full code fidelity,2.537699659279536e-08,0.42225022364249654,0.0005397473298121958,0.007443228144190617,0.014959548969108907,172,67,4898,2814,325,586.8947368420958
qft50 15 8 full code fidelity,2.1511700300438326e-08,0.41386834584198723,0.00048588387408589215,0.007443228144190638,0.014372049721117568,176,68,4898,2836,329,592.7894736842
qft50 15 6 full code fidelity,4.96980485959874e-09,0.3706551064126334,0.00015517325605654024,0.00744322814419061,0.011608901992549686,198,78,4898,2970,347,622.9999999999847
qft50 15 7 full code fidelity,1.0974269246757993e-08,0.4373290462900008,0.0002459475332739589,0.007443228144190608,0.013707665121203609,165,73,4898,2856,339,603.8421052631461
qft50 15 2 full code fidelity,1.1867489093638528e-08,0.393634376409426,0.00030963872476308016,0.0074432281441906495,0.013081249272857884,186,72,4898,2894,337,606.0526315789349
qft50 15 3 full code fidelity,6.277119288899084e-09,0.35608578229633064,0.0002074531184533281,0.0074432281441906036,0.01141627574162329,206,76,4898,2986,345,622.8947368420897
qft50 20 3 full code fidelity,1.8836870197850543e-09,0.2856078805640324,8.382843250852065e-05,0.0074432281441906434,0.010570265171334926,250,85,4898,3024,357,637.631578947352
