prob,i,LNN time 1,zigzag time
95,0,1.9449217319488525,2.6903562545776367
95,1,1.9011814594268799,2.668200731277466
95,2,2.1611852645874023,2.878544807434082
95,3,1.9669525623321533,3.00824236869812
95,4,2.2540016174316406,3.0114378929138184
95,5,2.243565320968628,2.9987761974334717
95,6,2.051867723464966,2.9544179439544678
95,7,2.2474498748779297,3.593165397644043
95,8,2.3099021911621094,2.9231035709381104
95,9,2.0514461994171143,2.7267091274261475
90,0,2.2402656078338623,3.1280508041381836
90,1,2.4510083198547363,3.1468255519866943
90,2,2.3272130489349365,3.19319486618042
90,3,2.2207844257354736,3.1308975219726562
90,4,2.3517048358917236,3.111935615539551
90,5,2.678514242172241,3.698885202407837
90,6,2.469022750854492,3.3037607669830322
90,7,2.2966322898864746,3.1057121753692627
90,8,2.3091468811035156,3.2600953578948975
90,9,2.3205373287200928,3.302560329437256
85,0,2.6522433757781982,3.807326316833496
85,1,2.4582571983337402,3.363237142562866
85,2,2.4852654933929443,3.5737013816833496
85,3,2.4504029750823975,3.4870951175689697
85,4,2.64635968208313,3.5190134048461914
85,5,2.5287859439849854,3.464643955230713
85,6,2.36853289604187,3.3797237873077393
85,7,2.334416151046753,3.4319376945495605
85,8,2.380256175994873,3.4457664489746094
85,9,2.4272429943084717,3.2892355918884277
80,0,2.5876638889312744,3.6044299602508545
80,1,2.433647632598877,3.6024179458618164
80,2,2.537158727645874,3.5036120414733887
80,3,2.4922397136688232,3.5190088748931885
80,4,2.4428634643554688,3.5592195987701416
80,5,2.5597240924835205,3.6448330879211426
80,6,2.6444251537323,3.586703300476074
80,7,2.5423202514648438,3.6669046878814697
80,8,2.535759449005127,3.596395492553711
80,9,2.535644769668579,3.404634952545166
75,0,2.475206136703491,3.67151141166687
75,1,2.517752170562744,3.628854513168335
75,2,2.622441053390503,3.7122113704681396
75,3,2.444779634475708,3.6287994384765625
75,4,2.5035812854766846,3.6150200366973877
75,5,2.586041212081909,3.679553747177124
75,6,2.5939533710479736,3.7052996158599854
75,7,2.4822068214416504,3.581599235534668
75,8,2.425699234008789,3.4020814895629883
75,9,2.4580202102661133,3.647170066833496
70,0,2.423358201980591,3.57499361038208
70,1,2.438830852508545,3.753815174102783
70,2,2.5003740787506104,3.9545271396636963
70,3,2.4878978729248047,3.705286741256714
70,4,2.518101930618286,3.713228940963745
70,5,2.488597869873047,3.6264491081237793
70,6,2.442913055419922,3.617292881011963
70,7,2.5495400428771973,3.6866960525512695
70,8,2.5429651737213135,3.872408628463745
70,9,2.458566188812256,3.7240865230560303
65,0,2.509498357772827,4.202684640884399
65,1,2.8182671070098877,3.849743604660034
65,2,2.693134307861328,3.863753080368042
65,3,2.5132088661193848,3.8928351402282715
65,4,2.5648622512817383,3.791243553161621
65,5,2.5519747734069824,3.886164665222168
65,6,2.508624315261841,3.799086809158325
65,7,2.64959716796875,3.9261789321899414
65,8,2.548483371734619,3.676173448562622
65,9,2.4985504150390625,3.6880321502685547
60,0,2.5242974758148193,3.796157121658325
60,1,2.476625680923462,3.773108720779419
60,2,2.5042591094970703,3.7986154556274414
60,3,2.5870211124420166,3.781043767929077
60,4,2.457784652709961,3.8548409938812256
60,5,2.5332257747650146,3.813142776489258
60,6,2.589169502258301,3.924548864364624
60,7,2.5274810791015625,3.9773173332214355
60,8,2.521350145339966,3.728804588317871
60,9,2.45058012008667,3.8289082050323486
55,0,2.688384532928467,4.125182151794434
55,1,2.5179800987243652,3.858808755874634
55,2,2.4629883766174316,3.783768892288208
55,3,2.454300880432129,3.7673768997192383
55,4,2.4910736083984375,3.7251577377319336
55,5,2.459510326385498,3.661358118057251
55,6,2.5751540660858154,3.7944931983947754
55,7,2.7783186435699463,3.8178181648254395
55,8,2.460676908493042,3.7155253887176514
55,9,2.515285015106201,3.7176449298858643
50,0,2.4814138412475586,3.7254812717437744
50,1,2.419907808303833,3.707521915435791
50,2,2.4555389881134033,3.7191450595855713
50,3,2.702549934387207,3.8759288787841797
50,4,2.556199073791504,3.819180488586426
50,5,2.466454267501831,3.8314576148986816
50,6,2.510348320007324,3.7614123821258545
50,7,2.417325496673584,3.7965731620788574
50,8,2.730872631072998,3.7090606689453125
50,9,2.47798752784729,3.9160163402557373
45,0,2.5424420833587646,3.815054416656494
45,1,2.461387872695923,3.7850236892700195
45,2,2.4582021236419678,3.7567965984344482
45,3,2.5170845985412598,3.7292122840881348
45,4,2.4618630409240723,3.7327747344970703
45,5,2.471346855163574,3.722639322280884
45,6,2.445401191711426,3.7120375633239746
45,7,2.551206588745117,3.7828516960144043
45,8,2.454411745071411,3.730318546295166
45,9,2.4665427207946777,3.6721854209899902
40,0,2.643343925476074,4.130198001861572
40,1,2.6105592250823975,3.8271372318267822
40,2,2.603224277496338,3.9614782333374023
40,3,2.5534210205078125,3.832634210586548
40,4,2.558295249938965,4.007701635360718
40,5,2.646193027496338,3.8185386657714844
40,6,2.6804697513580322,4.295486688613892
40,7,2.760481357574463,4.096041679382324
40,8,2.6487982273101807,4.027815103530884
40,9,2.759537696838379,4.003726243972778
35,0,2.6018505096435547,3.80053448677063
35,1,2.559626817703247,3.9362361431121826
35,2,2.5609843730926514,3.9335100650787354
35,3,2.570378065109253,4.0147621631622314
35,4,2.5364787578582764,3.9001576900482178
35,5,2.5154175758361816,3.8000288009643555
35,6,2.6374928951263428,3.8891429901123047
35,7,2.68704891204834,3.9232094287872314
35,8,2.494720458984375,3.8025076389312744
35,9,2.4990293979644775,3.792478084564209
30,0,2.4822347164154053,3.703345537185669
30,1,2.512078046798706,3.695305824279785
30,2,2.4492878913879395,3.7890467643737793
30,3,2.427603244781494,3.613658905029297
30,4,2.4819705486297607,3.735180377960205
30,5,2.6189310550689697,3.7438948154449463
30,6,2.586174964904785,3.7355356216430664
30,7,2.403949499130249,3.577031373977661
30,8,2.481654644012451,3.6431994438171387
30,9,2.407649517059326,3.6661391258239746
25,0,2.6241869926452637,3.5996458530426025
25,1,2.4030332565307617,3.5950958728790283
25,2,2.543372392654419,3.7132186889648438
25,3,2.5626323223114014,3.7600388526916504
25,4,2.4156429767608643,3.6002120971679688
25,5,2.425976514816284,3.6089887619018555
25,6,2.45552396774292,3.620049476623535
25,7,2.5722713470458984,3.613121509552002
25,8,2.417459011077881,3.6077911853790283
25,9,2.4467201232910156,3.5114169120788574
20,0,2.4471757411956787,3.3854401111602783
20,1,2.2830193042755127,3.415196418762207
20,2,2.4422550201416016,3.4371864795684814
20,3,2.49074649810791,3.671985149383545
20,4,2.3446614742279053,3.423055410385132
20,5,2.315014123916626,3.3637948036193848
20,6,2.5963501930236816,3.6560351848602295
20,7,2.5336596965789795,3.5823488235473633
20,8,2.610416889190674,3.7115983963012695
20,9,2.5322859287261963,3.530933141708374
15,0,2.3375630378723145,3.59539532661438
15,1,2.309096336364746,3.392773389816284
15,2,2.417264461517334,3.4208078384399414
15,3,2.5075149536132812,3.4573822021484375
15,4,2.4313912391662598,3.214797258377075
15,5,2.341458559036255,3.298809051513672
15,6,2.4295551776885986,3.4183719158172607
15,7,2.2568981647491455,3.1980667114257812
15,8,2.2509191036224365,3.2564423084259033
15,9,2.2194178104400635,3.2698121070861816
10,0,2.329904317855835,3.170163154602051
10,1,2.184048891067505,3.0730743408203125
10,2,2.119738817214966,3.0349674224853516
10,3,2.2025296688079834,3.0653913021087646
10,4,2.1670987606048584,3.0354256629943848
10,5,2.135826826095581,2.9615049362182617
10,6,2.208470344543457,3.0683376789093018
10,7,2.3880984783172607,3.1787190437316895
10,8,2.0737385749816895,3.0423786640167236
10,9,2.2807068824768066,3.1600842475891113
5,0,1.8795993328094482,2.6142072677612305
5,1,2.164957046508789,2.872392177581787
5,2,1.9055907726287842,2.8007912635803223
5,3,1.941455602645874,2.7011425495147705
5,4,1.9053373336791992,2.687929391860962
5,5,2.0331270694732666,2.952364444732666
5,6,2.0609264373779297,2.7416558265686035
5,7,1.9139068126678467,2.7732765674591064
5,8,1.9393670558929443,2.8292975425720215
5,9,1.971005916595459,2.783184289932251
