file_name,cir_fidelity,cir_fidelity_1q_gate,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_fidelity_coherence_big,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,num_big_move,num_offset_move,total_move_dis,bigmov_dis,offset_dis,average_movement
qft50 5 2 full code fidelity,0.00017607395772051314,1,0.7514768435208592,0.007859281395123728,0.08618787113701247,0.34589997567206837,0.9929825153431524,57,41,2450,552,138,414,167.05263157894802,116.21052631578927,50.842105263158025,40.81047727262439
qft50 5 3 full code fidelity,0.00011822709317793259,1,0.7402609576967049,0.0054807635505494355,0.08618787113701243,0.3380998259097891,0.9928299613288731,60,44,2450,564,141,423,170.68421052631646,118.73684210526294,51.94736842105277,40.81047727262439
qft50 5 6 full code fidelity,0.00010352641615673244,1,0.7292124703704624,0.004909178890275649,0.08618787113701254,0.33553828567341565,0.99277910999078,63,45,2450,568,142,426,171.89473684210594,119.57894736842083,52.315789473684355,40.81047727262439
qft50 5 7 full code fidelity,0.00010352251449315797,1,0.707607734727267,0.005058875666515818,0.08618787113701254,0.33553828567341565,0.99277910999078,69,45,2450,568,142,426,171.89473684210594,119.57894736842083,52.315789473684355,40.81047727262439
qft50 5 0 full code fidelity,0.00022962519792392894,1,0.7705488893118826,0.00984512979974119,0.08618787113701237,0.35119776619481674,0.9930842180193387,52,39,2450,544,136,408,164.63157894736906,114.52631578947349,50.10526315789486,40.81047727262439
qft50 5 1 full code fidelity,2.4212696341739412e-05,1,0.6662995813682119,0.001355943827598889,0.0861878711370125,0.31094656453700653,0.9922705966098491,81,56,2450,608,152,456,184.00000000000074,127.99999999999973,56.00000000000018,40.81047727262439
qft50 5 4 full code fidelity,0.00030173981708005426,1,0.7783125570686423,0.012519374411297657,0.08618787113701239,0.35929386689377435,0.9932367720336179,50,37,2450,532,133,399,161.00000000000063,111.99999999999982,49.000000000000114,40.8104772726244
qft50 5 5 full code fidelity,0.00010352446530656415,1,0.7183288830986242,0.004983465223174393,0.08618787113701244,0.33553828567341565,0.99277910999078,66,45,2450,568,142,426,171.89473684210594,119.57894736842083,52.315789473684355,40.81047727262439
qft50 5 9 full code fidelity,0.0001350125554389839,1,0.7402609576967049,0.006211490828913585,0.08618787113701232,0.3406805272311322,0.9928808126669663,60,43,2450,560,140,420,169.47368421052698,117.89473684210505,51.57894736842119,40.8104772726244
qft50 5 8 full code fidelity,0.00010352316476020879,1,0.7111635524897156,0.005033612906156153,0.08618787113701254,0.33553828567341565,0.99277910999078,68,45,2450,568,142,426,171.89473684210594,119.57894736842083,52.315789473684355,40.81047727262439
qft50 10 0 full code fidelity,3.743070868189929e-06,1,0.48831554144353606,0.0003206820189296265,0.08618787113701253,0.2773363147419458,0.9915078265384526,143,70,2450,668,167,501,202.15789473684293,140.6315789473681,61.52631578947391,40.81047727262439
qft50 10 1 full code fidelity,1.2367687807715546e-05,1,0.5317508269437918,0.0009084612258953202,0.08618787113701255,0.2970487919436872,0.9919654885812904,126,61,2450,632,158,474,191.26315789473762,133.05263157894709,58.21052631578967,40.81047727262439
qft50 10 5 full code fidelity,1.4123531653472339e-05,1,0.5211953074858883,0.0010504078122015978,0.0861878711370126,0.2993220520501333,0.9920163399193835,130,60,2450,628,157,471,190.05263157894814,132.2105263157892,57.84210526315809,40.81047727262439
qft50 10 4 full code fidelity,1.4123886519420287e-05,1,0.5317508269437917,0.0010295825610843379,0.08618787113701266,0.2993220520501333,0.9920163399193835,126,60,2450,628,157,471,190.05263157894814,132.2105263157892,57.84210526315809,40.81047727262439
qft50 10 2 full code fidelity,1.2367998556568279e-05,1,0.5425201222922795,0.0008904501896674857,0.08618787113701261,0.2970487919436872,0.9919654885812904,122,61,2450,632,158,474,191.26315789473762,133.05263157894709,58.21052631578967,40.81047727262439
qft50 10 3 full code fidelity,7.271626326408664e-06,1,0.5425201222922793,0.0005397473298121955,0.08618787113701241,0.2881237417553194,0.991762083228918,122,65,2450,648,162,486,196.10526315789554,136.42105263157865,59.684210526316,40.81047727262439
qft50 10 6 full code fidelity,1.2462726871712505e-05,1,0.5452463540625923,0.0008860035040328336,0.08618787113701253,0.2993220520501333,0.9920163399193835,121,61,2450,628,157,471,190.05263157894814,132.2105263157892,57.84210526315809,40.81047727262439
qft50 10 7 full code fidelity,2.8701895049401597e-06,1,0.5108493203603867,0.00023866971992522905,0.08618787113701254,0.2731330629768354,0.9914061238622663,134,72,2450,676,169,507,204.5789473684219,142.31578947368388,62.26315789473708,40.81047727262439
qft50 10 8 full code fidelity,2.1036469734361593e-05,1,0.5562889678716479,0.0014327083848540243,0.0861878711370125,0.3062446118517882,0.9921688939336628,117,57,2450,616,154,462,186.4210526315797,129.68421052631552,56.73684210526334,40.81047727262439
qft50 10 9 full code fidelity,7.271809032309215e-06,1,0.5535075230322897,0.0005290463681926792,0.08618787113701266,0.2881237417553194,0.991762083228918,118,65,2450,648,162,486,196.10526315789554,136.42105263157865,59.684210526316,40.81047727262439
qft50 15 4 full code fidelity,1.9266780998980484e-06,1,0.437329046290001,0.0001914841834001684,0.08618787113701257,0.2669449916386708,0.9912535698479871,165,75,2450,688,172,516,208.21052631579033,144.84210526315755,63.368421052631824,40.81047727262439
qft50 15 5 full code fidelity,3.276848427540415e-06,1,0.40565285250151895,0.00034053746951585997,0.0861878711370126,0.27522682546427846,0.9914569752003595,180,71,2450,672,168,504,203.3684210526324,141.473684210526,61.894736842105495,40.81047727262439
