file_name,cir_fidelity,cir_fidelity_1q_gate,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_fidelity_coherence_big,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,num_big_move,num_offset_move,total_move_dis,bigmov_dis,offset_dis,average_movement
qft50 5 2 full code fidelity,0.013304485826247629,1,1,1,0.08618787113701303,0.1543661033824291,0.9930890882954425,0,0,2450,1179,138,1041,235.63157894737083,112.73684210526292,122.89473684210735,33.90454809074356
qft50 5 3 full code fidelity,0.012869638582439002,1,1,1,0.08618787113701289,0.1493207618735603,0.9929429932479688,0,0,2450,1199,141,1058,240.10526315789718,115.05263157894711,125.05263157894953,33.93952219004107
qft50 5 6 full code fidelity,0.0130075852314346,1,1,1,0.08618787113701289,0.1509212962315363,0.9928921419098756,0,0,2450,1188,142,1046,239.15789473684453,115.894736842105,123.26315789473895,33.99456144315145
qft50 5 7 full code fidelity,0.0127429565867579,1,1,1,0.08618787113701296,0.14785092633858432,0.9928905271681743,0,0,2450,1203,142,1061,241.36842105263403,115.94736842105237,125.42105263158113,33.96438165212118
qft50 5 0 full code fidelity,0.013700390664120474,1,1,1,0.08618787113701291,0.15895961326554817,0.9931940204550315,0,0,2450,1159,136,1023,231.2105263157918,110.94736842105239,120.26315789473891,33.86176635052293
qft50 5 1 full code fidelity,0.012068724091651379,1,1,1,0.08618787113701293,0.14002810293881976,0.9923884727540487,0,0,2450,1227,152,1075,251.21052631579198,124.1578947368418,127.05263157894954,34.23632227142239
qft50 5 4 full code fidelity,0.014124802665650745,1,1,1,0.0861878711370129,0.16388387924324688,0.9933385007608039,0,0,2450,1142,133,1009,227.31578947368655,108.68421052631558,118.63157894737041,33.82953770862712
qft50 5 5 full code fidelity,0.01280743736235152,1,1,1,0.086187871137013,0.1485990684465511,0.992893756651577,0,0,2450,1200,142,1058,240.9473684210551,115.84210526315763,125.10526315789689,33.97783576575175
qft50 5 9 full code fidelity,0.013060697132895866,1,1,1,0.08618787113701286,0.15153753028814548,0.9929906151026591,0,0,2450,1188,140,1048,237.84210526316033,114.31578947368396,123.52631578947582,33.920729051128816
qft50 5 8 full code fidelity,0.012787158994688071,1,1,1,0.08618787113701279,0.14836378745636186,0.9928969861349797,0,0,2450,1201,142,1059,240.63157894737088,115.7368421052629,124.8947368421074,33.9376862427685
qft50 10 0 full code fidelity,0.009548582709038154,1,1,1,0.08618787113701315,0.1107880097636794,0.9916402353579645,0,0,2450,1377,167,1210,280.1578947368445,136.31578947368382,143.84210526316053,34.1815452307704
qft50 10 1 full code fidelity,0.010175403231221198,1,1,1,0.08618787113701308,0.11806073287325236,0.9920882089505942,0,0,2450,1345,158,1187,270.26315789473944,129.05263157894703,141.21052631579204,34.015999885902666
qft50 10 5 full code fidelity,0.010595655744201429,1,1,1,0.08618787113701303,0.1229367381328806,0.9921439045137914,0,0,2450,1316,157,1159,265.3157894736868,128.05263157894703,137.2631578947393,34.040817025178185
qft50 10 4 full code fidelity,0.010499102356891053,1,1,1,0.08618787113701322,0.1218164716030703,0.9921487487388955,0,0,2450,1324,157,1167,266.7368421052657,127.89473684210492,138.8421052631604,34.05668102858025
qft50 10 2 full code fidelity,0.01072050486169386,1,1,1,0.08618787113701282,0.12438530758755463,0.9920946679173996,0,0,2450,1306,158,1148,264.73684210526574,128.84210526315755,135.8947368421077,34.11231124534244
qft50 10 3 full code fidelity,0.010160296686543223,1,1,1,0.08618787113701298,0.1178854582727932,0.9918896478233259,0,0,2450,1338,162,1176,271.89473684210776,132.26315789473648,139.63157894737094,34.15861453685771
qft50 10 6 full code fidelity,0.010615315244154825,1,1,1,0.08618787113701301,0.12316483867294552,0.9921455192554928,0,0,2450,1315,157,1158,265.21052631579204,127.99999999999966,137.21052631579195,34.04896275021991
qft50 10 7 full code fidelity,0.009546418796531453,1,1,1,0.08618787113701305,0.1107629028376335,0.9915401474234797,0,0,2450,1373,169,1204,281.31578947368655,137.94736842105223,143.3684210526342,34.2858663312984
qft50 10 8 full code fidelity,0.010757587837541284,1,1,1,0.08618787113701303,0.1248155650629765,0.992293229044668,0,0,2450,1310,154,1156,263.0000000000026,125.63157894736808,137.36842105263406,34.00100135340928
qft50 10 9 full code fidelity,0.01012010263070587,1,1,1,0.08618787113701298,0.1174191043031789,0.9918896478233259,0,0,2450,1342,162,1180,272.368421052634,132.26315789473648,140.1052631578973,34.141698320987324
