file_name,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,big_movement_stage,movement_distance
qft50 1 full code fidelity,8.16998020655011e-05,0.8822202429488015,0.0637081207689669,0.007443228144190465,0.1952935321051546,25,23,4898,956,239,314.36842105263213
qft50 2 full code fidelity,7.623689640034753e-06,0.7783125570686421,0.008600392696124535,0.007443228144190498,0.15301413729590257,50,40,4898,1092,273,359.1052631578946
qft50 3 full code fidelity,1.6419423829356852e-06,0.6866430931872007,0.0024602002658129295,0.007443228144190492,0.13058553282473645,75,51,4898,1180,295,388.05263157894683
qft50 4 full code fidelity,8.287626114564476e-07,0.6057704364907288,0.0014912530085165636,0.007443228144190502,0.12325638097734543,100,56,4898,1212,303,398.57894736842036
qft50 5 full code fidelity,8.872622760809219e-08,0.5344229416520521,0.00022815479573921107,0.007443228144190509,0.09776333109997293,125,72,4898,1340,335,440.6842105263145
qft50 6 full code fidelity,1.1730002198735343e-07,0.47147873742168617,0.000332119173218618,0.00744322814419053,0.10064233463267612,150,70,4898,1324,331,435.4210526315777
qft50 7 full code fidelity,1.5284071882739192e-07,0.4159480862733541,0.00048345749148967585,0.007443228144190539,0.10211283077822197,175,68,4898,1316,329,432.7894736842093
qft50 8 full code fidelity,5.832601105965546e-08,0.36695782172616737,0.00022815479573921107,0.007443228144190524,0.09359554853992938,200,75,4898,1364,341,448.5789473684196
qft50 9 full code fidelity,2.485722472336003e-08,0.3237376186352224,0.00012202693178873977,0.007443228144190499,0.0845361467491644,225,81,4898,1420,355,466.9999999999983
qft50 10 full code fidelity,1.8794298063247522e-08,0.2856078805640323,0.00010767153624697278,0.007443228144190511,0.08210955213636453,250,83,4898,1436,359,472.26315789473506
qft50 11 full code fidelity,2.224759544293945e-08,0.25196905377929285,0.00013829627217000373,0.007443228144190517,0.08577566010726731,275,82,4898,1412,353,464.3684210526299
qft50 12 full code fidelity,1.6338334488530723e-08,0.2222921998407473,0.00012202693178873992,0.007443228144190509,0.0809219867453984,300,84,4898,1444,361,474.89473684210344
qft50 13 full code fidelity,1.9061049788818633e-08,0.19611067854912728,0.0001567347356502544,0.007443228144190537,0.0833141920004981,325,83,4898,1428,357,469.6315789473667
qft50 14 full code fidelity,1.0898010241159883e-08,0.17301281047446548,0.00010767153624697274,0.007443228144190502,0.07859713404115488,350,87,4898,1460,365,480.1578947368402
qft50 15 full code fidelity,8.360586916581641e-09,0.1526354036900378,9.500492676365834e-05,0.007443228144190514,0.07745938207877726,375,89,4898,1468,367,482.7894736842086
qft50 16 full code fidelity,8.11890873533738e-09,0.1346580429260134,0.0001076715362469727,0.00744322814419052,0.07523208892899234,400,89,4898,1484,371,488.05263157894535
qft50 17 full code fidelity,7.267935359162269e-09,0.11879805134519765,0.00010767153624697271,0.007443228144190537,0.07633777520600296,425,90,4898,1476,369,485.42105263157697
qft50 18 full code fidelity,7.3735628468368464e-09,0.10480604571960435,0.00012202693178873996,0.007443228144190534,0.07745938207877726,450,90,4898,1468,367,482.7894736842086
qft50 19 full code fidelity,6.4109128835756075e-09,0.09246201511725259,0.00012202693178873993,0.007443228144190549,0.07633777520600298,475,91,4898,1476,369,485.42105263157697
qft50 20 full code fidelity,7.159292070904816e-09,0.08157186144027832,0.00015673473565025448,0.007443228144190539,0.07523208892899234,500,90,4898,1484,371,488.05263157894535
qft50 21 full code fidelity,3.3291622484834405e-09,0.07196434741762828,8.382843250852063e-05,0.007443228144190517,0.07414210181129673,525,96,4898,1492,373,490.68421052631373
qft50 22 full code fidelity,5.411850765853905e-09,0.06348840406243196,0.00015673473565025432,0.007443228144190517,0.07306759543309498,550,92,4898,1500,375,493.3157894736821
qft50 23 full code fidelity,7.697131360070768e-09,0.05601075525639041,0.00022815479573921107,0.00744322814419055,0.0809219867453984,575,90,4898,1444,361,474.89473684210344
qft50 24 full code fidelity,4.15104957318582e-09,0.04941382211003857,0.0001567347356502543,0.007443228144190516,0.07200835435095798,600,94,4898,1508,377,495.9473684210505
qft50 25 full code fidelity,4.914334768195527e-09,0.04359387414694706,0.0002013143901862979,0.00744322814419054,0.07523208892899234,625,93,4898,1484,371,488.05263157894535
