file_name,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,big_movement_stage,movement_distance
qft50 1 full code fidelity,1.7486254292039393e-05,0.8822202429488015,0.0637081207689669,0.007443228144190541,0.04179878381153716,25,23,4898,2160,239,441.10526315789485
qft50 2 full code fidelity,1.591242416110369e-06,0.7783125570686421,0.008600392696124535,0.0074432281441905645,0.03193763086198557,50,40,4898,2310,273,487.31578947368337
qft50 3 full code fidelity,3.1914295699430695e-07,0.6866430931872007,0.0024602002658129295,0.007443228144190587,0.025381799945897014,75,51,4898,2452,295,521.9473684210502
qft50 4 full code fidelity,1.4747687179955185e-07,0.6057704364907288,0.0014912530085165636,0.007443228144190562,0.021933259590376432,100,56,4898,2554,303,539.8421052631537
qft50 5 full code fidelity,1.440891184516098e-08,0.5344229416520521,0.00022815479573921107,0.007443228144190599,0.015876514278629173,125,72,4898,2746,335,588.6842105263064
qft50 6 full code fidelity,1.8217488882717794e-08,0.47147873742168617,0.000332119173218618,0.007443228144190593,0.015630437072715955,150,70,4898,2766,331,587.2105263157798
qft50 7 full code fidelity,2.0762184591790544e-08,0.4159480862733541,0.00048345749148967585,0.007443228144190615,0.01387120826225619,175,68,4898,2866,329,595.9473684210417
qft50 8 full code fidelity,8.024285540180885e-09,0.36695782172616737,0.00022815479573921107,0.007443228144190628,0.012876543297399283,200,75,4898,2902,341,610.4736842105136
qft50 9 full code fidelity,3.0249073075550653e-09,0.3237376186352224,0.00012202693178873977,0.007443228144190643,0.010287311270665626,225,81,4898,3048,355,638.3684210526147
qft50 10 full code fidelity,2.4078593139801727e-09,0.2856078805640323,0.00010767153624697278,0.007443228144190636,0.010519586803026365,250,83,4898,3026,359,639.6315789473518
qft50 11 full code fidelity,2.521095301246842e-09,0.25196905377929285,0.00013829627217000373,0.007443228144190637,0.009720089265934734,275,82,4898,3094,353,641.4210526315602
qft50 12 full code fidelity,1.824943312060577e-09,0.2222921998407473,0.00012202693178873992,0.007443228144190632,0.009038744959795926,300,84,4898,3140,361,653.4210526315596
qft50 13 full code fidelity,1.8444046903498823e-09,0.19611067854912728,0.0001567347356502544,0.00744322814419066,0.008061732601347486,325,83,4898,3232,357,659.5263157894523
qft50 14 full code fidelity,1.0852822124591328e-09,0.17301281047446548,0.00010767153624697274,0.007443228144190671,0.007827123450753072,350,87,4898,3248,365,668.3684210526089
qft50 15 full code fidelity,7.728444082821299e-10,0.1526354036900378,9.500492676365834e-05,0.007443228144190686,0.007160268878951743,375,89,4898,3308,367,676.4736842105025
qft50 16 full code fidelity,7.109968491592748e-10,0.1346580429260134,0.0001076715362469727,0.007443228144190684,0.006588296522089182,400,89,4898,3366,371,686.1578947368174
qft50 17 full code fidelity,6.496448879519791e-10,0.11879805134519765,0.00010767153624697271,0.007443228144190671,0.0068234571400924635,425,90,4898,3340,369,681.6315789473438
qft50 18 full code fidelity,6.278260164726379e-10,0.10480604571960435,0.00012202693178873996,0.007443228144190674,0.006595321189919995,450,90,4898,3372,367,683.2105263157638
qft50 19 full code fidelity,5.477711511325381e-10,0.09246201511725259,0.00012202693178873993,0.007443228144190688,0.006522570460537322,475,91,4898,3378,369,685.6315789473427
qft50 20 full code fidelity,6.023607292958997e-10,0.08157186144027832,0.00015673473565025448,0.0074432281441907154,0.006329795670424917,500,90,4898,3398,371,689.526315789448
qft50 21 full code fidelity,2.7758781820254457e-10,0.07196434741762828,8.382843250852063e-05,0.007443228144190682,0.0061820190013640005,525,96,4898,3410,373,692.5789473683946
qft50 22 full code fidelity,4.4816661450148697e-10,0.06348840406243196,0.00015673473565025432,0.007443228144190684,0.0060508795034829215,550,92,4898,3422,375,695.631578947341
qft50 23 full code fidelity,6.281744717681703e-10,0.05601075525639041,0.00022815479573921107,0.0074432281441906565,0.006604165097392001,575,90,4898,3386,361,679.3157894736594
qft50 24 full code fidelity,3.3810862743079137e-10,0.04941382211003857,0.0001567347356502543,0.00744322814419068,0.005865178293803541,600,94,4898,3444,377,699.7368421052353
qft50 25 full code fidelity,4.180149096803689e-10,0.04359387414694706,0.0002013143901862979,0.007443228144190685,0.006399265890928491,625,93,4898,3390,371,688.684210526289
qft50 26 full code fidelity,3.82119072274198e-10,0.03845939824099909,0.00020131439018629776,0.007443228144190677,0.006630710689319907,650,94,4898,3370,369,684.7894736841854
