file_name,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,big_movement_stage,movement_distance
qft50 1 full code fidelity,0.002190504754139696,0.8822202429488015,0.0637081207689669,0.23581150948652888,0.16527508472129152,25,23,1444,1340,187,209.68421052631894
qft50 2 full code fidelity,4.474168732967644e-05,0.7783125570686421,0.008600392696124535,0.06257522011657984,0.10681633028379123,50,40,2770,1654,203,262.78947368421444
qft50 3 full code fidelity,4.502429844122082e-06,0.6866430931872007,0.0024602002658129295,0.03516605120487337,0.07579173227774041,75,51,3346,1888,223,304.31578947368706
qft50 4 full code fidelity,1.849545118650673e-06,0.6057704364907288,0.0014912530085165636,0.031501215302448024,0.06499474044499583,100,56,3456,1983,242,326.4210526315815
qft50 5 full code fidelity,9.895644943160334e-08,0.5344229416520521,0.00022815479573921107,0.016308670625860288,0.04976349194215617,125,72,4114,2168,258,360.36842105263287
qft50 6 full code fidelity,1.0637892106183343e-07,0.47147873742168617,0.000332119173218618,0.014262445042858212,0.04763273702973254,150,70,4248,2200,254,365.3157894736858
qft50 7 full code fidelity,1.477415406283791e-07,0.4159480862733541,0.00048345749148967585,0.015826439010228715,0.046421801500367704,175,68,4144,2225,256,362.94736842105414
qft50 8 full code fidelity,4.541160736356653e-08,0.36695782172616737,0.00022815479573921107,0.012725054227120072,0.042624714332460845,200,75,4362,2277,260,380.52631578947495
qft50 9 full code fidelity,1.4133041344430627e-08,0.3237376186352224,0.00012202693178873977,0.009968705564508308,0.03588789628497163,225,81,4606,2396,264,400.68421052631646
qft50 10 full code fidelity,9.752904133227842e-09,0.2856078805640323,0.00010767153624697278,0.00878800479774405,0.03608881101264289,250,83,4732,2391,264,402.31578947368496
qft50 11 full code fidelity,1.161627825365926e-08,0.25196905377929285,0.00013829627217000373,0.009909042662480081,0.03364167643576504,275,82,4612,2442,270,406.94736842105317
qft50 12 full code fidelity,7.842241250199476e-09,0.2222921998407473,0.00012202693178873992,0.008735408413401223,0.033096118912265715,300,84,4738,2456,267,410.47368421052687
qft50 13 full code fidelity,8.43766334116628e-09,0.19611067854912728,0.0001567347356502544,0.008770437576153346,0.031299286202403284,325,83,4734,2503,263,413.1052631578951
qft50 14 full code fidelity,4.700527305459132e-09,0.17301281047446548,0.00010767153624697274,0.00819359439056399,0.03079590336029404,350,87,4802,2510,266,419.15789473684225
qft50 15 full code fidelity,3.2086466501610474e-09,0.1526354036900378,9.500492676365834e-05,0.008226450868229299,0.026897256091393564,375,89,4798,2600,279,433.52631578947364
qft50 16 full code fidelity,3.117121550284277e-09,0.1346580429260134,0.0001076715362469727,0.007935423045654557,0.027092585050509543,400,89,4834,2600,273,433.3157894736843
qft50 17 full code fidelity,2.6585145947273493e-09,0.11879805134519765,0.00010767153624697271,0.00784071996515641,0.0265077508068023,425,90,4846,2608,278,436.3157894736843
qft50 18 full code fidelity,2.7109107663290754e-09,0.10480604571960435,0.00012202693178873996,0.008226450868229278,0.025766811888847954,450,90,4798,2626,281,439.6842105263156
qft50 19 full code fidelity,2.2637693577343275e-09,0.09246201511725259,0.00012202693178873993,0.007856424958648732,0.02553807538014325,475,91,4844,2636,281,441.4210526315785
qft50 20 full code fidelity,2.638736362602798e-09,0.08157186144027832,0.00015673473565025448,0.007840719965156413,0.026322942196939442,500,90,4846,2618,274,436.73684210526307
