file_name,cir_fidelity,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,big_movement_stage,movement_distance
qft50 1 full code fidelity,0.0008107659499644999,0.8822202429488015,0.0637081207689669,0.13601397173658428,0.10605720197107263,25,23,1994,1514,209,309.1578947368447
qft50 2 full code fidelity,1.3552281462469564e-05,0.7783125570686421,0.008600392696124535,0.035805093822013995,0.056545139226929296,50,40,3328,1936,240,396.5263157894748
qft50 3 full code fidelity,1.4349797178198714e-06,0.6866430931872007,0.0024602002658129295,0.023473662032371622,0.03618790139619509,75,51,3750,2237,276,454.89473684210503
qft50 4 full code fidelity,4.528948887842495e-07,0.6057704364907288,0.0014912530085165636,0.018723247857351206,0.02677668598011888,100,56,3976,2432,297,494.73684210526204
qft50 5 full code fidelity,2.775896319823299e-08,0.5344229416520521,0.00022815479573921107,0.011983645004435248,0.018997638119822035,125,72,4422,2641,331,551.263157894731
qft50 6 full code fidelity,3.3106773285378844e-08,0.47147873742168617,0.000332119173218618,0.01128543305428614,0.018734519806547424,150,70,4482,2664,326,548.9999999999943
qft50 7 full code fidelity,3.688823303268498e-08,0.4159480862733541,0.00048345749148967585,0.011061855814590493,0.016582974564453488,175,68,4502,2763,326,554.6315789473617
qft50 8 full code fidelity,1.246485196588699e-08,0.36695782172616737,0.00022815479573921107,0.010272452035020268,0.014493299002406944,200,75,4576,2837,339,583.5789473684117
qft50 9 full code fidelity,3.962529366547219e-09,0.3237376186352224,0.00012202693178873977,0.008752905471438697,0.011459651121845505,225,81,4736,2991,349,614.2105263157761
qft50 10 full code fidelity,2.985852172722642e-09,0.2856078805640323,0.00010767153624697278,0.008210006192943715,0.011826431526281123,250,83,4800,2968,349,614.8421052631445
qft50 11 full code fidelity,3.1765106490037573e-09,0.25196905377929285,0.00013829627217000373,0.008700519157265217,0.010477253918045852,275,82,4742,3061,349,620.5789473684049
qft50 12 full code fidelity,2.2299400087539683e-09,0.2222921998407473,0.00012202693178873992,0.008128274597814287,0.010113812482217413,300,84,4810,3084,352,629.6842105262994
qft50 13 full code fidelity,2.3663935400616417e-09,0.19611067854912728,0.0001567347356502544,0.008325812947509033,0.009246850228933796,325,83,4786,3163,348,631.6315789473506
qft50 14 full code fidelity,1.318861185123588e-09,0.17301281047446548,0.00010767153624697274,0.007967244251054311,0.008886112042377459,350,87,4830,3179,353,645.5263157894536
qft50 15 full code fidelity,8.595099207103827e-10,0.1526354036900378,9.500492676365834e-05,0.007856424958648788,0.007544396761804981,375,89,4844,3284,364,663.2105263157673
qft50 16 full code fidelity,7.966331010726572e-10,0.1346580429260134,0.0001076715362469727,0.0077007802618363624,0.007134941372304744,400,89,4864,3326,364,670.526315789451
qft50 17 full code fidelity,7.042783044403011e-10,0.11879805134519765,0.00010767153624697271,0.007639389210883978,0.007207347243905346,425,90,4872,3315,365,668.7894736841879
qft50 18 full code fidelity,6.752386546247942e-10,0.10480604571960435,0.00012202693178873996,0.007778213307062344,0.006787899752221143,450,90,4854,3360,368,673.8947368420804
qft50 19 full code fidelity,5.929195674784523e-10,0.09246201511725259,0.00012202693178873993,0.007700780261836435,0.0068240469492327795,475,91,4864,3356,368,675.6842105262912
qft50 20 full code fidelity,6.666326865750752e-10,0.08157186144027832,0.00015673473565025448,0.0076700233146752405,0.006798049015718975,500,90,4868,3362,365,675.1052631578708
qft50 21 full code fidelity,2.8078909460384715e-10,0.07196434741762828,8.382843250852063e-05,0.0074581369599736715,0.006240812648917534,525,96,4896,3406,372,690.4736842105001
qft50 22 full code fidelity,4.90540459841546e-10,0.06348840406243196,0.00015673473565025432,0.007593667313783593,0.006491777130376325,550,92,4878,3385,368,683.2105263157636
qft50 23 full code fidelity,6.84298782922424e-10,0.05601075525639041,0.00022815479573921107,0.007685386402092998,0.006967532918140898,575,90,4866,3361,357,667.4210526315555
qft50 24 full code fidelity,3.545784283467421e-10,0.04941382211003857,0.0001567347356502543,0.007518071446027577,0.0060896475663896445,600,94,4888,3425,373,692.684210526289
qft50 25 full code fidelity,4.422645004922128e-10,0.04359387414694706,0.0002013143901862979,0.007548219063151135,0.006676322380437967,625,93,4884,3370,366,679.9999999999744
qft50 26 full code fidelity,3.981520919263486e-10,0.03845939824099909,0.00020131439018629776,0.007518071446027557,0.006840144063461909,650,94,4888,3355,366,678.3684210526069
qft50 27 full code fidelity,5.053472453382127e-10,0.03392965965983892,0.0002930482728143362,0.007608877459825807,0.006679602881420374,675,92,4876,3383,358,674.0526315789224
qft50 28 full code fidelity,3.628018522687142e-10,0.02993343258827323,0.00025857372029207344,0.0075331301732438965,0.006222331109109985,700,94,4886,3427,368,684.9473684210263
qft50 29 full code fidelity,3.509748197329465e-10,0.026407880170317977,0.00029304827281433635,0.007518071446027556,0.006032492690348392,725,94,4888,3447,367,689.4736842104999
qft50 30 full code fidelity,3.87588268347722e-10,0.02329756645962077,0.00033211917321861753,0.007533130173243862,0.006649525313675836,750,94,4886,3375,364,680.1052631578691
qft50 31 full code fidelity,4.3339685193127865e-10,0.020553584742122478,0.0003763992333416757,0.0075030428212069285,0.007466413176319094,775,94,4890,3290,366,668.9473684210295
qft50 32 full code fidelity,3.630361372159325e-10,0.01813278852466406,0.0003763992333416757,0.007488044238607377,0.007103430395927744,800,95,4892,3321,363,672.9999999999758
qft50 33 full code fidelity,4.413438402551835e-10,0.015997113097568353,0.0004834574914896761,0.007518071446027555,0.007590505713180436,825,94,4888,3270,367,671.1052631578723
qft50 34 full code fidelity,4.2188245877858557e-10,0.014112977003416212,0.0005479148565452424,0.00753313017324385,0.007242429662540837,850,94,4886,3308,361,671.1052631578705
qft50 35 full code fidelity,3.8094055559934314e-10,0.01245075400068471,0.000547914856545242,0.007473075638174342,0.007472210605371824,875,95,4894,3288,363,669.2105263157673
qft50 36 full code fidelity,4.3201832699671045e-10,0.01098430721937981,0.0006209660524609016,0.007488044238607343,0.008458497780473983,900,95,4892,3217,349,649.3157894736645
qft50 37 full code fidelity,3.5285890446521e-10,0.009690578183705525,0.000547914856545242,0.0074432281441906434,0.008928468780575292,925,97,4898,3154,359,653.1052631578755
qft50 38 full code fidelity,3.9090207471011146e-10,0.008549224239543043,0.0007037568587575526,0.007473075638174313,0.008693992247230302,950,96,4894,3173,359,653.7894736841909
qft50 39 full code fidelity,4.08866207705187e-10,0.007542298685633446,0.0007037568587575526,0.007443228144190644,0.010348884016932895,975,97,4898,3050,353,636.789473684193
qft50 40 full code fidelity,5.660103702331347e-10,0.006653968578831963,0.0009039245976485056,0.007473075638174325,0.012592502912037958,1000,96,4894,2926,337,609.368421052619
qft50 41 full code fidelity,4.746469042594905e-10,0.005870265776190818,0.0009039245976485061,0.007443228144190629,0.012017644501411892,1025,97,4898,2958,339,614.5789473684075
qft50 42 full code fidelity,5.771654171174876e-10,0.005178867299245101,0.0011610255275899225,0.007473075638174318,0.01284471200409387,1050,96,4894,2896,345,613.4210526315653
qft50 43 full code fidelity,6.054691061838916e-10,0.004568901566939615,0.0011610255275899212,0.007443228144190591,0.015334763663540715,1075,97,4898,2770,337,592.9999999999899
qft50 44 full code fidelity,7.394383503811459e-10,0.004030777450394626,0.001315820204656776,0.007443228144190597,0.0187307543931665,1100,97,4898,2644,319,563.6315789473615
qft50 45 full code fidelity,9.842883233385713e-10,0.0035560334615596973,0.001690075534286064,0.007473075638174285,0.02191548071267656,1125,96,4894,2552,305,541.3684210526267
qft50 46 full code fidelity,1.007970223414195e-09,0.003137204704391262,0.0016900755342860638,0.007443228144190546,0.0255409707312918,1150,97,4898,2456,291,518.7894736842085
qft50 47 full code fidelity,1.2602425496086703e-09,0.002767705496488182,0.0019154062357491619,0.007443228144190568,0.03193831754824285,1175,97,4898,2310,273,487.31578947368337
qft50 48 full code fidelity,1.7652207269640635e-09,0.0024417258155225363,0.0021707793370883697,0.007443228144190557,0.044743001387177024,1200,97,4898,2118,231,429.52631578947404
qft50 49 full code fidelity,2.3964750694688083e-09,0.0021541399421846517,0.002460200265812927,0.007443228144190558,0.06075292747358368,1225,97,4898,1942,193,377.00000000000136
