file_name,cir_fidelity,cir_fidelity_1q_gate,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,cir_fidelity_coherence_big,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,num_big_move,total_move_dis,bigmov_dis,average_movement
qft 5 full code fidelity,0.7597178807583941,1,0.904610480274618,0.9276563692349433,0.9249283295681432,0.9788035161515856,0.9985145586857606,20,14,78,132,27,39.63157894736844,26.842105263157894,39.3375366437669
qft 6 full code fidelity,0.6552508193522548,1,0.8603841919146966,0.8867871865156691,0.888643586114708,0.9664249431090393,0.9980731886328762,30,18,118,176,35,52.05263157894745,34.8421052631579,39.054867040649185
qft 7 full code fidelity,0.5479686406310416,1,0.8101573778154735,0.8392731030692049,0.8469758853683546,0.951506946622923,0.9976318185799917,42,22,166,220,43,64.47368421052646,42.8421052631579,38.88526527877856
qft 8 full code fidelity,0.4443182386852559,1,0.7552531090661903,0.786391514168376,0.8008264083574377,0.9341667697218003,0.9971904485271074,56,26,222,264,51,76.89473684210547,50.8421052631579,38.77219743753147
qft 9 full code fidelity,0.34931743997359466,1,0.6970466008354952,0.7295010968306057,0.7511551214098502,0.9145403534507925,0.996749078474223,72,30,286,308,59,89.3157894736845,58.8421052631579,38.69143469378355
qft 10 full code fidelity,0.2662756539945767,1,0.6369088258938784,0.6699844104191454,0.6989478686545437,0.8927805302326078,0.9963077084213385,90,34,358,352,67,101.73684210526353,66.84210526315789,38.63086263597261
qft 11 full code fidelity,0.19679999324531533,1,0.5761543988830041,0.6091932225498211,0.6451843777173254,0.8690550571670046,0.9958663383684542,110,38,438,396,75,114.15789473684256,74.84210526315789,38.583751035453
qft 12 full code fidelity,0.14102577066526267,1,0.515996384293716,0.5483994948939686,0.5908085978922368,0.8435444459353506,0.9954249683155697,132,42,526,440,83,126.5789473684216,82.84210526315789,38.5460617550373
qft 13 full code fidelity,0.09798261346386522,1,0.4575100055400053,0.4887543622601732,0.5367025720391544,0.8164396720481917,0.9949835982626853,156,46,622,484,91,139.00000000000065,90.84210526315789,38.515225071060826
qft 14 full code fidelity,0.06600457216119336,1,0.4016064652978159,0.4312567091588406,0.48366476711039347,0.7879397457508533,0.9945422282098009,182,50,726,528,99,151.42105263157973,98.84210526315789,38.48952783441376
qft 15 full code fidelity,0.04310928397857473,1,0.3490173016974103,0.37673216372443347,0.43239347672188166,0.7582493027389838,0.9941008581569165,210,54,838,572,107,163.8421052631588,106.84210526315789,38.46778401878932
qft 16 full code fidelity,0.027298369109786776,1,0.30028896908517405,0.32582256083374433,0.38347558663089537,0.7275761417577542,0.993659488104032,240,58,958,616,115,176.26315789473787,114.84210526315789,38.4491464625398
qft 17 full code fidelity,0.01675980687715387,1,0.2557867022842223,0.27898523736235625,0.3373806832553329,0.696128814602151,0.9932181180511477,272,62,1086,660,123,188.68421052631695,122.84210526315789,38.43299391379021
qft 18 full code fidelity,0.00997619708089594,1,0.21570623976979011,0.23650096147234326,0.2944602063887948,0.6641142347499471,0.9927767479982633,306,66,1222,704,131,201.10526315789602,130.8421052631579,38.41886043363433
qft 19 full code fidelity,0.005757341824104021,1,0.18009166573181268,0.19848889581374413,0.25495111561414774,0.6317354783076096,0.9923353779453788,342,70,1366,748,139,213.5263157894751,138.8421052631579,38.40638971584972
qft 20 full code fidelity,0.0032213452164828907,1,0.1488574871309632,0.1649267641837768,0.21898336600184257,0.5991896732233817,0.9918940078924945,380,74,1518,792,147,225.94736842105416,146.8421052631579,38.395304633374515
qft 21 full code fidelity,0.001747463263686644,1,0.12181307688414098,0.13567432772852994,0.18659037743833123,0.5666660835772678,0.99145263783961,420,78,1678,836,155,238.36842105263324,154.8421052631579,38.385386401686176
qft 22 full code fidelity,0.0008997789582475221,1,0.09868776295209036,0.1104983608640051,0.1577216330693321,0.5231490335439091,0.9910112677867257,462,82,1846,916,163,255.42105263158086,162.8421052631579,38.00627627456873
qft 23 full code fidelity,0.00044810481658498746,1,0.07915509187866449,0.08909751893838488,0.13225655099907438,0.4804165401562822,0.9905698977338412,506,86,2022,996,171,272.68421052631754,170.8421052631579,37.71157900990778
qft 24 full code fidelity,0.00021419191984173896,1,0.0628551072319092,0.07112577357411168,0.11001883111517359,0.43548026896456427,0.9901285276809568,552,90,2206,1088,179,291.63157894737,178.8421052631579,37.38126483319487
qft 25 full code fidelity,9.898388320800823e-05,1,0.049413822110038565,0.05621342054619543,0.09079057485370018,0.3924960238753189,0.9896871576280724,600,94,2398,1180,187,310.5789473684224,186.8421052631579,37.1024572738677
qft 26 full code fidelity,4.422352550277117e-05,1,0.03845939824099911,0.04398500440138737,0.07432559783167404,0.3517287155026754,0.989245787575188,650,98,2598,1272,195,329.52631578947484,194.8421052631579,36.86398036777654
qft 27 full code fidelity,1.910113429999674e-05,1,0.029634846598205214,0.034073824669237286,0.06036149145650922,0.3133831402991352,0.9888044175223035,702,102,2806,1364,203,348.47368421052727,202.8421052631579,36.65767336690588
qft 28 full code fidelity,7.975745141147031e-06,1,0.02260731802731656,0.026132968585455146,0.04863012869834737,0.27760549530944845,0.9883630474694192,756,106,3022,1456,211,367.42105263157964,210.8421052631579,36.47743812988152
qft 29 full code fidelity,3.219430063854174e-06,1,0.01707424722777896,0.0198430408231548,0.038866441665141874,0.24448624048799025,0.9879216774165348,812,110,3246,1548,219,386.368421052632,218.8421052631579,36.31862620268434
qft 30 full code fidelity,1.256236943036246e-06,1,0.012766746905164973,0.014916925569894404,0.03081541706426162,0.2140641493270181,0.9874803073636503,870,114,3478,1640,227,405.3157894736845,226.8421052631579,36.17763219902636
qft 31 full code fidelity,4.738469568520972e-07,1,0.009450724290688864,0.011102020811130906,0.0242373550153394,0.18633126869793082,0.987038937310766,930,118,3718,1732,235,424.263157894737,234.8421052631579,36.05161677312419
qft 32 full code fidelity,1.7276973500161934e-07,1,0.0069262170922646735,0.008180434447901015,0.018911514247096053,0.1612385538265824,0.9865975672578815,992,122,3966,1824,243,443.2105263157895,242.8421052631579,35.93831342965952
qft 33 full code fidelity,6.089045935087508e-08,1,0.005025430456791578,0.005967635902294668,0.014638321796742888,0.1387018886319299,0.9861561972049971,1056,126,4222,1916,251,462.15789473684197,250.8421052631579,35.8358909918303
qft 34 full code fidelity,2.0743008047197677e-08,1,0.0036099118471168983,0.0043100259473154105,0.011240358989536854,0.11860829765084334,0.9857148271521127,1122,130,4486,2008,259,481.10526315789446,258.8421052631579,35.7428538769894
qft 35 full code fidelity,6.830050578976777e-09,1,0.0025672377333703605,0.0030818327697636444,0.008562350056554062,0.10082211052871067,0.9852734570992283,1190,134,4758,2100,267,500.05263157894694,266.8421052631579,35.65796858554409
qft 36 full code fidelity,2.173674602239027e-09,1,0.0018075142906314782,0.0021816740719853445,0.0064703784405618185,0.08519090631635344,0.9848320870463438,1260,138,5038,2192,275,518.999999999999,274.8421052631579,35.58020870177484
qft 37 full code fidelity,6.686089754621784e-10,1,0.0012599216922462527,0.001529052120076984,0.004850542247539618,0.07155105936023225,0.9843907169934595,1332,142,5326,2284,283,537.94736842105,282.8421052631579,35.50871318692571
qft 38 full code fidelity,1.9876754749191497e-10,1,0.0008694638471734857,0.0010609778705061867,0.003607238075823022,0.05973279252019141,0.983949346940575,1406,146,5622,2376,291,556.8947368421009,290.8421052631579,35.4427543617787
qft 39 full code fidelity,5.710877022461391e-11,1,0.0005940262887104569,0.0007288564131460777,0.002661235003740362,0.04956463774864292,0.9835079768876906,1482,150,5926,2468,299,575.8421052631519,298.8421052631579,35.38171305033795
qft 40 full code fidelity,1.5857421317504807e-11,1,0.0004017963279080584,0.0004957117927726742,0.0019476708019255152,0.040877261889113635,0.9830666068348063,1560,154,6238,2560,307,594.7894736842027,306.8421052631579,35.325059083157
qft 41 full code fidelity,4.2420841265324975e-12,1,0.00026906203525670747,0.0003337860171417196,0.0014140728566247836,0.03340311191012883,0.9826252367819218,1640,158,6558,2656,315,614.1578947368323,314.8421052631579,35.25844541679488
qft 42 full code fidelity,1.0572358208798288e-12,1,0.00017837954184635497,0.00022251466845776976,0.0010184786374322127,0.026152683351999263,0.9821838667290375,1722,162,6886,2780,323,637.3157894736722,322.8421052631579,35.14200806319998
qft 43 full code fidelity,2.530593625522718e-13,1,0.00011708030005530386,0.0001468590684486889,0.0007277060206297269,0.020224688708761745,0.981742496676153,1806,166,7222,2908,331,661.1052631578784,330.8421052631579,35.03120623264442
qft 44 full code fidelity,5.748930972627221e-14,1,7.607969640955469e-05,9.596094365866827e-05,0.0005158030641829742,0.015266514528047257,0.9813011266232686,1892,170,7566,3048,339,686.5789473684002,338.8421052631579,34.91135592245692
qft 45 full code fidelity,1.2578948685001143e-14,1,4.894404698322984e-05,6.207830759629702e-05,0.00036269016021341365,0.011414813680990375,0.9808597565703842,1980,174,7918,3188,347,712.052631578922,346.8421052631579,34.80203198832102
qft 46 full code fidelity,2.6507351454541802e-15,1,3.1172895498583746e-05,3.975912740609186e-05,0.00025299476493572764,0.00845358285541162,0.9804183865174998,2070,178,8278,3328,355,737.5263157894434,354.8421052631579,34.701905981335976
qft 47 full code fidelity,5.379289400801502e-16,1,1.9656245706305155e-05,2.5210730952444772e-05,0.00017506978638955685,0.0062005140766303035,0.9799770164646153,2162,182,8646,3468,363,762.9999999999653,362.8421052631579,34.609863965687666
qft 48 full code fidelity,1.0512150798298005e-16,1,1.2270723280461195e-05,1.5826527925645854e-05,0.0001201807126055604,0.00450402711844518,0.979535646411731,2256,186,9022,3608,371,788.4736842104869,370.8421052631579,34.52496490025597
qft 49 full code fidelity,1.9780512351399505e-17,1,7.583783282980867e-06,9.83642934050742e-06,8.184313442024431e-05,0.0032399021371425463,0.9790942763588465,2352,190,9406,3748,379,813.9473684210083,378.8421052631579,34.44640834771671
qft 50 full code fidelity,3.583716008140366e-18,1,4.640318890515293e-06,6.052585347905994e-06,5.529089731770264e-05,0.0023077629637708883,0.9786529063059621,2450,194,9798,3888,387,839.4210526315297,386.8421052631579,34.37350916007227
qft 51 full code fidelity,2.2610325925708525e-17,1,2.8109679997636175e-06,3.687193972848686e-06,3.705518011278945e-05,0.058871622799068574,0.9781846246157675,2550,198,10198,1580,395,540.2631578947328,,41.93598508068294
qft 52 full code fidelity,4.843010950775743e-18,1,1.6858158690892985e-06,2.2238355354096946e-06,2.4635882539589362e-05,0.05243659984873445,0.9777427053457952,2652,202,10606,1612,403,551.2105263157846,,41.936166121384126
qft 53 full code fidelity,1.0062572086477323e-18,1,1.0009457392057786e-06,1.327886524275781e-06,1.6248423378489847e-05,0.04659360128776004,0.9773007860758228,2756,206,11022,1644,411,562.1578947368364,,41.93634011427213
qft 54 full code fidelity,2.028082701494436e-19,1,5.88378905788221e-07,7.85002209158459e-07,1.0631100765992994e-05,0.04130279606291444,0.9768588668058504,2862,210,11446,1676,419,573.1052631578882,,41.9365074630403
qft 55 full code fidelity,3.965003648473307e-20,1,3.424126610740654e-07,4.594438173923925e-07,6.900318677344163e-06,0.03652516752533311,0.976416947535878,2970,214,11878,1708,427,584.05263157894,,41.936668541128626
qft 56 full code fidelity,7.51936146170786e-21,1,1.9728256091105808e-07,2.662229931674177e-07,4.443078308247545e-06,0.03222275993798692,0.9759750282659057,3080,218,12318,1740,435,594.9999999999918,,41.93682369450566
qft 57 full code fidelity,1.3832348869646644e-21,1,1.1253140476927442e-07,1.5272506884962653e-07,2.8380673201422804e-06,0.02835888627700413,0.9755331089959334,3192,222,12766,1772,443,605.9473684210436,,41.936973244148994
qft 58 full code fidelity,2.4682358777021324e-22,1,6.354844753526609e-08,8.674145738663265e-08,1.7983959834679081e-06,0.024898298933154636,0.975091189725961,3306,226,13222,1804,451,616.8947368420954,,41.93711748826174
qft 59 full code fidelity,4.272197208129947e-23,1,3.5528945014310244e-08,4.877471239283494e-08,1.1305033686735976e-06,0.021807325300723622,0.9746492704559886,3422,230,13686,1836,459,627.8421052631472,,41.93725670425727
qft 60 full code fidelity,7.17278758786862e-24,1,1.966553835082127e-08,2.715278226989028e-08,7.04988939523982e-07,0.019053970545219175,0.9742073511860162,3540,234,14158,1868,467,638.789473684199,,41.937391150539895
qft 61 full code fidelity,1.168139830182588e-24,1,1.0776445313028524e-08,1.4965305073986978e-08,4.361306934064213e-07,0.01660799007155374,0.9737654319160439,3660,238,14638,1900,475,649.7368421052508,,41.937521068105625
qft 62 full code fidelity,1.8453128682129292e-25,1,5.846438429100288e-09,8.165982208326952e-09,2.676547198680291e-07,0.01444093437447295,0.9733235126460715,3782,242,15126,1932,483,660.6842105263026,,41.93764668198388
qft 63 full code fidelity,2.8275586971893914e-26,1,3.14017168187676e-09,4.411465646935266e-09,1.6295101362073362e-07,0.012526169048103141,0.9728815933760991,3906,246,15622,1964,491,671.6315789473545,,41.937768202538194
qft 64 full code fidelity,4.2025976043027204e-27,1,1.6697888885834417e-09,2.359440290714962e-09,9.841541591382824e-08,0.010838872767385934,0.9724396741061268,4032,250,16126,1996,499,682.5789473684063,,41.937885826641875
qft 65 full code fidelity,6.058800633274153e-28,1,8.790547038930992e-10,1.2493574142755394e-09,5.896483721210779e-08,0.0093560160372871,0.9719977548361545,4160,254,16638,2028,507,693.5263157894581,,41.93799973874228
qft 66 full code fidelity,8.472592079322023e-29,1,4.581591866924796e-10,6.549618785559942e-10,3.5046687925873866e-08,0.008056323442787807,0.9715558355661821,4290,258,17158,2060,515,704.4736842105099,,41.93811011182598
qft 67 full code fidelity,1.1492243413707454e-29,1,2.364084837642693e-10,3.3993584754520126e-10,2.0664493491028272e-08,0.006920222030731647,0.9711139162962097,4422,262,17686,2092,523,715.4210526315617,,41.938217108295255
qft 68 full code fidelity,1.511994856521993e-30,1,1.207691132584063e-10,1.7467450630951088e-10,1.2087220753060382e-08,0.0059297783205217,0.9706719970262373,4556,266,18222,2124,531,726.3684210526135,,41.93832088076546
qft 69 full code fidelity,1.929527089300366e-31,1,6.10794136047832e-11,8.886151256089977e-11,7.013778537847885e-09,0.0050686262811691345,0.9702300777562649,4692,270,18766,2156,539,737.3157894736653,,41.938421572791285
qft 70 full code fidelity,2.3883864504809e-32,1,3.058299416430638e-11,4.475581764183353e-11,4.03739786962408e-09,0.004321888433692424,0.9697881584862926,4830,274,19318,2188,547,748.2631578947171,,41.93851931952933
qft 71 full code fidelity,2.8675404110267764e-33,1,1.5160422556008998e-11,2.2317056214951238e-11,2.3055521816827872e-09,0.003676092046331532,0.9693462392163202,4970,278,19878,2220,555,759.2105263157689,,41.9386142483434
qft 72 full code fidelity,3.339364270658941e-34,1,7.440271305477705e-12,1.1017319309637256e-11,1.3060874861801827e-09,0.003119082190932484,0.9689043199463478,5112,282,20446,2252,563,770.1578947368207,,41.938706479358125
qft 73 full code fidelity,3.77194552116303e-35,1,3.615034110466036e-12,5.384762872998465e-12,7.339956508580798e-10,0.002639933227058722,0.9684624006763755,5256,286,21022,2284,571,781.1052631578725,,41.938796125966135
qft 74 full code fidelity,4.13249609723875e-36,1,1.738930354044995e-12,2.605606609577032e-12,4.09202813032658e-10,0.002228860080167411,0.9680204814064032,5402,290,21606,2316,579,792.0526315789243,,41.9388832952931
qft 75 full code fidelity,4.391399728290357e-37,1,8.281292773307541e-13,1.2482533167702332e-12,2.2631203006606486e-10,0.001877130485191615,0.9675785621364308,5550,294,22198,2348,587,802.9999999999761,,41.93896808862478
qft 76 full code fidelity,4.5262132729644156e-38,1,3.9044534609783646e-13,5.920361525488368e-13,1.2416539542251115e-10,0.0015769791801076892,0.9671366428664584,5700,298,22798,2380,595,813.9473684210279,,41.93905060179964
qft 77 full code fidelity,4.5248753715141434e-39,1,1.8225041418924778e-13,2.780003508227778e-13,6.757988016631743e-11,0.0013215248579444164,0.966694723596486,5852,302,23406,2412,603,824.8947368420797,,41.9391309255702
qft 78 full code fidelity,4.387486862127646e-40,1,8.422149744237864e-14,1.2923914546041404e-13,3.6488680988301756e-11,0.001104690522032998,0.9662528043265137,6006,306,24022,2444,611,835.8421052631315,,41.93920914593596
qft 79 full code fidelity,4.1262986976476043e-41,1,3.853217776145018e-14,5.948321436757308e-14,1.9544421382433173e-11,0.0009211277393929067,0.9658108850565413,6162,310,24646,2476,619,846.7894736841833,,41.93928534445059
qft 80 full code fidelity,3.763909257900545e-42,1,1.7453009013919948e-14,2.7104811894115528e-14,1.0385116585529505e-11,0.0007661451517992727,0.9653689657865689,6320,314,25278,2508,627,857.7368421052352,,41.93935959850551
qft 81 full code fidelity,3.3300387693116743e-43,1,7.826421477100365e-15,1.2227846654527126e-14,5.474240092124414e-12,0.0006356414836501238,0.9649270465165966,6480,318,25918,2540,635,868.684210526287,,41.93943198159212
qft 82 full code fidelity,2.8575188666682475e-44,1,3.4745799809825406e-15,5.4614151065292925e-15,2.862596997650572e-12,0.0005260431802380095,0.9644851272466243,6642,322,26566,2572,643,879.6315789473388,,41.93950256354438
qft 83 full code fidelity,2.37824502652723e-45,1,1.5271706023531902e-15,2.414971491057323e-15,1.4849796004915391e-12,0.0004342467191040704,0.9640432079766519,6806,326,27222,2604,651,890.5789473683906,,41.93957141076356
qft 84 full code fidelity,1.919772461673096e-46,1,6.645366827339993e-16,1.0572323575416603e-15,7.641958409196438e-13,0.00035756556022690676,0.9636012887066795,6972,330,27886,2636,659,901.5263157894424,,41.93963858642658
qft 85 full code fidelity,1.5030262896449836e-47,1,2.862836360413858e-16,4.582268174995481e-16,3.901330631248587e-13,0.0002936816370817249,0.9631593694367071,7140,334,28558,2668,667,912.4736842104942,,41.939704150679404
qft 86 full code fidelity,1.1413137198290832e-48,1,1.2210128970850428e-16,1.9662655750005133e-16,1.9758080533356785e-13,0.00024060123915187456,0.9627174501667348,7310,338,29238,2700,675,923.421052631546,,41.9397681608166
qft 87 full code fidelity,8.405491569263083e-50,1,5.155729688645308e-17,8.353249751356464e-17,9.926602942714324e-14,0.00019661509623305167,0.9622755308967624,7482,342,29926,2732,683,934.3684210525978,,41.939830671448384
qft 88 full code fidelity,6.003973729197843e-51,1,2.1552923591303823e-17,3.513341572153237e-17,4.947439088867869e-14,0.00016026244472420564,0.96183361162679,7656,346,30622,2764,691,945.3157894736496,,41.93989173465599
qft 89 full code fidelity,4.1593934176031955e-52,1,8.92007283479166e-18,1.4629749844910678e-17,2.4461560960152752e-14,0.000130298834905313,0.9613916923568177,7832,350,31326,2796,699,956.2631578947014,,41.93995140013637
qft 90 full code fidelity,2.794696969474982e-53,1,3.654910724430736e-18,6.0312182322293125e-18,1.1998080846761833e-14,0.00010566742482171751,0.9609497730868453,8010,354,32038,2828,707,967.2105263157532,,41.94000971533715
qft 91 full code fidelity,1.8211717477398668e-54,1,1.4826249610037203e-18,2.461641492547687e-18,5.837989462123776e-15,8.547349971898265e-05,0.960507853816873,8190,358,32758,2860,715,978.157894736805,,41.94006672558238
qft 92 full code fidelity,1.1510030763247145e-55,1,5.954317699510152e-19,9.947093071277786e-19,2.817985377593643e-15,6.89619549434643e-05,0.9600659345469006,8372,362,33486,2892,723,989.1052631578568,,41.940122474190105
qft 93 full code fidelity,7.055201148613626e-57,1,2.3674393420270017e-19,3.9794144884269383e-19,1.349391808902086e-15,5.5497483851368064e-05,0.9596240152769282,8556,366,34222,2924,731,1000.0526315789086,,41.94017700258206
qft 94 full code fidelity,4.194184989796708e-58,1,9.319055090859394e-20,1.5761363659487348e-19,6.410048414209577e-16,4.45472196403795e-05,0.9591820960069558,8742,370,34966,2956,739,1010.9999999999604,,41.94023035038637
qft 95 full code fidelity,2.418181816640824e-59,1,3.6317091425323496e-20,6.180448896015807e-20,3.0207059820809115e-16,3.566559030622398e-05,0.9587401767369835,8930,374,35718,2988,747,1021.9473684210122,,41.940282555533564
qft 96 full code fidelity,1.352170400519499e-60,1,1.4011879732939456e-20,2.3993735519913482e-20,1.412145698203868e-16,2.8481158394306013e-05,0.9582982574670111,9120,378,36478,3020,755,1032.894736842065,,41.94033365434651
qft 97 full code fidelity,7.332851865342565e-62,1,5.352145411558551e-21,9.222047024637217e-21,6.548992075783825e-17,2.268523121682912e-05,0.9578563381970387,9312,382,37246,3052,763,1043.842105263118,,41.94038368162471
