prob,i,LNN time 1,zigzag time
95,0,2.3088388442993164,2.898339033126831
95,1,2.0648443698883057,2.7012691497802734
95,2,2.243769407272339,2.730703830718994
95,3,2.074430227279663,2.865452289581299
95,4,2.0879390239715576,2.8513686656951904
95,5,2.0496068000793457,2.7961182594299316
95,6,2.0293991565704346,2.813605308532715
95,7,2.065190553665161,2.839512586593628
95,8,2.4353466033935547,2.8294663429260254
95,9,2.0783557891845703,2.8601760864257812
90,0,2.3306727409362793,3.4733245372772217
90,1,2.2597289085388184,2.944777727127075
90,2,2.2874863147735596,3.186109781265259
90,3,2.352546215057373,2.8832411766052246
90,4,2.3572959899902344,2.953981399536133
90,5,2.2285289764404297,2.9433531761169434
90,6,2.4647231101989746,3.3871724605560303
90,7,2.208272695541382,2.8938841819763184
90,8,2.1340889930725098,2.8863449096679688
90,9,2.1781375408172607,2.8534977436065674
85,0,2.252610206604004,2.981156587600708
85,1,2.1817634105682373,2.973487138748169
85,2,2.3009889125823975,3.367797613143921
85,3,2.464625597000122,3.2293055057525635
85,4,2.3786611557006836,3.044726610183716
85,5,2.2916910648345947,2.956279993057251
85,6,2.1888837814331055,2.9904630184173584
85,7,2.259399890899658,3.449479103088379
85,8,2.680055856704712,3.1730170249938965
85,9,2.493222236633301,3.20156192779541
80,0,2.415405511856079,3.297520399093628
80,1,2.3864877223968506,3.4554450511932373
80,2,2.7217209339141846,3.889878034591675
80,3,2.7174973487854004,3.3893697261810303
80,4,2.344111919403076,3.1413657665252686
80,5,2.3031506538391113,3.085855722427368
80,6,2.43811297416687,3.2152438163757324
80,7,2.354975700378418,3.2724525928497314
80,8,2.385563611984253,3.1690196990966797
80,9,2.40533447265625,3.127347946166992
75,0,2.4636144638061523,3.340280294418335
75,1,2.3433408737182617,3.210115671157837
75,2,2.4596335887908936,3.235719680786133
75,3,2.477418899536133,3.2890329360961914
75,4,2.3658268451690674,3.2163827419281006
75,5,2.4712045192718506,3.1963257789611816
75,6,2.411180257797241,3.3288066387176514
75,7,2.4232065677642822,3.153106212615967
75,8,2.2830440998077393,3.2109153270721436
75,9,2.3459510803222656,3.1387689113616943
70,0,2.3526430130004883,3.151515245437622
70,1,2.3450863361358643,3.2590367794036865
70,2,2.3409929275512695,3.161815643310547
70,3,2.2778310775756836,3.357144355773926
70,4,2.6418001651763916,3.632762908935547
70,5,2.689356565475464,3.5660836696624756
70,6,2.7476346492767334,3.605602264404297
70,7,2.64418625831604,3.25488543510437
